,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
13,1855,7.0,25,9.0,,,-19.95,-43.48,0.0,0,3.5,4,C,5,,MG,S.Joao M.GRANDE,ATUAL B. DE COCAIS,3.3,0.6,Mw(mb(I0))
14,1861,7.0,31,4.0,,,-22.8,-45.25,0.0,50,5.0,3,B,6,200.,SP,Lorena,(Paola Albini 2015; IAG) Af=200000 Aiv=73,4.6,0.4,Mw(Af)
15,1862,9.0,19,7.0,,,-19.46,-45.6,0.0,0,3.6,3,C,5,4.0,MG,Dores_do_Indaiá,(Diario_do_Rio-RJ 1862-10-24) (*),3.2,0.4,Mw(Af)
16,1863,4.0,9,2.0,45.0,,-21.93,-45.25,0.0,20,3.6,3,B,4,1.5,MG,CAMPANHA,,2.9,0.4,Mw(Af)
17,1864,11.0,23,14.0,30.0,,-2.53,-44.3,0.0,0,3.2,4,C,4-5,,MA,SAO LUIS,,2.9,0.6,Mw(mb(I0))
18,1871,4.0,5,4.0,30.0,,-3.4,-44.35,0.0,0,3.7,4,C,5-6,,MA,ITAPICURU-M.,,3.3,0.6,Mw(mb(I0))
19,1874,10.0,30,12.0,30.0,,-23.5,-47.5,0.0,10,3.6,3,B,5,1.7,SP,SOROCABA,,2.9,0.4,Mw(Af)
20,1876,6.0,27,21.0,30.0,,-16.57,-57.82,0.0,0,3.0,4,C,4,,MT,CAMBARA,,3.3,0.6,Mw(mb(I0))
21,1879,3.0,1,,,,-15.6,-56.1,0.0,0,3.5,4,C,5,,MT,CUIABA,,3.3,0.6,Mw(mb(I0))
22,1879,7.0,24,20.0,25.0,,-6.0,-35.5,0.0,50,4.3,3,B,5,30.0,RN,NATAL,Sentido forte em Areia; PB,3.8,0.4,Mw(Af)
23,1882,10.0,21,,,,-21.79,-46.58,0.0,0,3.0,4,C,4,,MG,Pocos de CALDAS,,3.3,0.6,Mw(mb(I0))
24,1886,5.0,9,18.0,15.0,,-22.66,-43.69,0.0,20,4.3,3,A,5,23.0,RJ,S.PEDRO-S.P.,AREA IV = 4700 KM2,3.7,0.4,Mw(Af)
25,1887,8.0,27,11.0,20.0,,-25.52,-48.51,0.0,0,3.0,4,C,4,,PR,PARANAGUA',,3.3,0.6,Mw(mb(I0))
26,1888,5.0,0,7.0,30.0,,-4.19,-38.7,0.0,0,3.0,4,C,4,,CE,ACARAPE,,3.3,0.6,Mw(mb(I0))
27,1888,6.0,5,0.0,20.0,0.0,-34.5,-58.0,0.0,80,5.0,3,A,5,245. ,AR,B.Aires;Colonia(UR),(Benavidez 1998),4.7,0.4,Mw(Af)
28,1898,2.0,25,4.0,,,-26.93,-49.06,0.0,0,3.9,3,C,-,5.4,SC,BLUMENAU,,3.3,0.4,Mw(Af)
29,1898,3.0,24,,,,-20.38,-43.42,0.0,0,3.0,4,C,4,,MG,Mariana,(O_Viçoso-O.Preto-MG_1898-03-27),3.3,0.6,Mw(mb(I0))
30,1899,5.0,0,,,,-18.6,-46.55,0.0,0,3.5,4,C,5,,MG,PATOS,(WILLIAMS 1922) 04.1899?,3.3,0.6,Mw(mb(I0))
31,1899,12.0,0,,,,-13.03,-39.6,0.0,0,3.5,4,C,5,,BA,AMARGOSA,,3.3,0.6,Mw(mb(I0))
32,1901,4.0,4,16.0,,,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,varios eventos,3.3,0.6,Mw(mb(I0))
33,1901,4.0,5,8.0,,,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,3.3,0.6,Mw(mb(I0))
34,1901,6.0,2,2.0,,,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,3.3,0.6,Mw(mb(I0))
35,1901,9.0,4,19.0,30.0,,-21.03,-44.75,0.0,10,3.7,3,B,4,5.0,MG,Bom Sucesso,(J.Commercio 22-09-1901),3.2,0.4,Mw(Af)
36,1901,9.0,5,12.0,,,-21.03,-44.75,0.0,10,3.5,3,C,4,3.0,MG,Bom Sucesso,(J.Commercio 22-09-1901),3.1,0.4,Mw(Af)
37,1903,2.0,10,,,,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,CE,BATURITE',,3.3,0.4,Mw(Af)
38,1903,2.0,12,,,,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,CE,BATURITE',,3.3,0.4,Mw(Af)
39,1903,2.0,14,,,,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
40,1903,2.0,15,,,,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
41,1903,2.0,16,,,,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
42,1905,,0,15.0,30.0,,-11.2,-42.3,0.0,100,4.7,3,B,4,140.0,BA,XIQUE-XIQUE,,4.4,0.4,Mw(Af)
43,1905,7.0,18,22.0,30.0,,-10.2,-40.4,0.0,100,4.8,3,B,5,180.0,BA,S. DO BONFIM,ANO INCERTO; 1904 ?,4.5,0.4,Mw(Af)
44,1906,10.0,25,2.0,52.0,,-19.0,-57.64,0.0,0,4.2,3,C,-,20.0,MS,CORUMBA',REGISTRADO POR RDJ,3.7,0.4,Mw(Af)
45,1906,12.0,4,11.0,,,-20.95,-43.8,0.0,0,3.2,4,C,4-5,,MG,CARANDAI',,2.9,0.6,Mw(mb(I0))
46,1909,1.0,29,,,,-28.5,-49.0,0.0,100,4.5,3,C,4,70.,SC,Tubarao,(Corr.Mun.-Caxias-RS-1909-02-25) (*),4.1,0.4,Mw(Af)
47,1909,12.0,23,,,,-2.41,-44.42,0.0,0,3.0,4,C,4,,MA,ALCANTARA,,2.9,0.6,Mw(mb(I0))
48,1911,3.0,15,23.0,55.0,,-12.89,-38.69,0.0,20,3.3,3,C,-,0.4,BA,ITAPARICA,,2.5,0.4,Mw(Af)
49,1911,3.0,22,18.0,,,-12.92,-38.67,0.0,20,4.4,4,C,7,,BA,ITAPARICA,AREA MIN.=700KM2,2.9,0.6,Mw(mb(I0))
50,1912,4.0,19,8.0,,,-13.2,-38.89,0.0,0,3.7,4,C,5-6,,BA,BR.JEQUIRICA,,3.3,0.6,Mw(mb(I0))
51,1915,2.0,2,,,,-24.18,-46.79,0.0,0,3.2,4,C,4-5,,SP,ITANHAEM,,2.9,0.6,Mw(mb(I0))
52,1915,11.0,6,18.0,30.0,,-12.67,-38.63,0.0,20,4.0,3,B,6,1.7,BA,I.DAS FONTES,AREA IV MM,2.9,0.4,Mw(Af)
53,1917,5.0,5,7.0,50.0,,-21.6,-41.5,0.0,50,4.5,3,B,5,70.0,RJ,CAMPOS,,4.1,0.4,Mw(Af)
54,1917,11.0,7,23.0,25.0,,-12.48,-38.66,0.0,10,4.3,3,B,6-7,28.0,BA,RIO FUNDO,,3.8,0.4,Mw(Af)
55,1917,11.0,8,1.0,,,-12.45,-38.62,0.0,0,3.7,3,C,4,2.3,BA,RIO FUNDO,,3.0,0.4,Mw(Af)
56,1918,,0,,,,-23.53,-46.62,0.0,0,3.0,4,C,4,,SP,SAO PAULO,,3.8,0.6,Mw(mb(I0))
57,1918,1.0,12,11.0,,,-12.45,-38.62,0.0,0,3.7,4,C,5-6,,BA,RIO FUNDO,DOIS EVENTOS,3.3,0.6,Mw(mb(I0))
58,1919,6.0,1,21.0,30.0,,-18.0,-56.0,0.0,100,4.9,3,C,5,280.0,MS,CORUMBA',SENT. CUIABA' e STA.LUZIA ATUAL LUZIANIA?,4.7,0.4,Mw(Af)
59,1919,6.0,5,4.0,20.0,,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,MG,BOM SUCESSO,OUTROS EVENTOS,2.9,0.6,Mw(mb(I0))
60,1919,9.0,0,,,,-17.3,-46.85,0.0,0,2.8,4,C,3-4,,MG,PARACATU,(WILLIAMS 1922),2.4,0.6,Mw(mb(I0))
61,1919,11.0,9,14.0,,,-12.75,-38.68,0.0,20,3.8,3,C,4,3.7,BA,ACUPE,,3.1,0.4,Mw(Af)
62,1919,11.0,10,,,,-12.59,-38.62,0.0,20,3.6,3,C,4,1.7,BA,SANTO AMARO,,2.9,0.4,Mw(Af)
63,1919,11.0,13,,,,-12.55,-38.7,0.0,0,3.5,4,C,5,,BA,SANTO AMARO,DOIS EVENTOS,2.4,0.6,Mw(mb(I0))
64,1919,11.0,16,9.0,55.0,,-12.67,-38.68,0.0,20,3.5,3,C,5,1.2,BA,S.B.DASLAJES,,2.8,0.4,Mw(Af)
65,1919,11.0,23,4.0,20.0,,-12.65,-38.62,0.0,10,4.2,3,B,7,3.0,BA,M.RECONCAVO,AREA IV MM,3.1,0.4,Mw(Af)
66,1919,11.0,24,6.0,,,-3.87,-38.92,0.0,50,4.5,3,B,4,70.0,CE,MARANGUAPE,,4.1,0.4,Mw(Af)
67,1920,1.0,31,11.0,10.0,,-21.03,-44.75,0.0,10,4.0,3,B,6,9.5,MG,BOM SUCESSO,,3.4,0.4,Mw(Af)
68,1920,2.0,1,4.0,35.0,,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,MG,BOM SUCESSO,VARIOS EVENTOS,2.9,0.6,Mw(mb(I0))
69,1920,2.0,9,16.0,20.0,,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,2.9,0.6,Mw(mb(I0))
70,1920,3.0,11,22.0,15.0,,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,2.9,0.6,Mw(mb(I0))
71,1922,1.0,27,6.0,50.0,40.0,-22.17,-47.04,0.0,40,5.1,3,A,6,250.0,SP,MOGI GUACU,(Assumpcao et al.1979),4.7,0.4,Mw(Af)
72,1924,,0,,,,-8.28,-35.96,0.0,0,3.0,4,C,4,,PE,CARUARU,,2.9,0.6,Mw(mb(I0))
73,1927,,0,3.0,,,-6.04,-38.46,0.0,0,3.0,4,C,4,,CE,PEREIRO,,2.9,0.6,Mw(mb(I0))
74,1928,4.0,15,21.0,59.0,,-4.56,-37.76,0.0,0,4.0,3,C,6,10.0,CE,ARACATI,AREA APROXIMADA,3.4,0.4,Mw(Af)
75,1928,6.0,8,21.0,30.0,,-5.42,-39.36,0.0,0,3.6,3,C,3-4,2.0,CE,LACERDA,,3.0,0.4,Mw(Af)
76,1935,1.0,2,1.0,12.0,18.0,-29.6,-60.0,0.0,30,3.0,3,C,4,,AR,Vera; Santa Fe,(LPA;SJA/INPRES),,,
77,1935,10.0,21,10.0,40.0,,-21.03,-44.75,0.0,10,3.7,3,C,5-6,2.8,MG,BOM SUCESSO,OUTROS EVENTOS,3.1,0.4,Mw(Af)
78,1939,6.0,28,11.0,32.0,22.0,-29.0,-48.0,0.0,90,5.5,3,A,6,1100.,SC,TUBARAO,(ISS; IAG)  I.E.I.= VII,5.6,0.4,Mw(Af)
79,1941,4.0,11,12.0,5.0,,-16.1,-54.5,0.0,70,4.4,3,B,5,51.,MT,RONDONOPOLIS CUIABA,POXOREU,4.0,0.4,Mw(Af)
80,1942,,0,18.0,30.0,,-3.1,-40.84,0.0,0,3.0,4,C,4,,CE,GRANJA,,3.3,0.6,Mw(mb(I0))
81,1946,2.0,19,4.0,,,-21.31,-46.71,0.0,0,3.0,4,C,4,,MG,GUAXUPE',,3.3,0.6,Mw(mb(I0))
82,1946,7.0,18,7.0,15.0,,-25.1,-47.7,0.0,30,4.6,3,A,4-5,60.0,SP,CANANEIA,AREA IV = 25000 KM2,4.1,0.4,Mw(Af)
83,1946,10.0,7,20.0,25.0,,-1.44,-48.48,0.0,0,2.8,4,C,3-4,,PA,BELEM,,2.4,0.6,Mw(mb(I0))
84,1946,10.0,13,10.0,45.0,,-21.79,-46.58,0.0,0,3.6,3,B,4,5.,MG,P. de Caldas; Caconde,(J.Noticias-SP-1946-10-15; 1946-11-29) Fe,3.2,0.4,Mw(Af)
85,1947,,0,,,,-21.79,-46.58,0.0,0,3.0,4,C,4,,MG,POCOS DE CALDAS,Provavel 13.10.1946,2.4,0.6,Mw(mb(I0))
86,1947,12.0,15,19.0,5.0,,-21.7,-57.9,0.0,0,3.5,4,C,5,,MS,Pto. MURTINHO,SENT. P.QUEBRACHO; JARDIM,2.4,0.6,Mw(mb(I0))
87,1948,1.0,21,16.0,47.0,40.0,-30.5,-58.0,0.0,30,5.5,4,B,6,,AR,M.Caseros;Corrientes,(SJA/INPRES),2.4,0.6,Mw(mb(I0))
88,1948,5.0,0,,,,-15.07,-49.97,0.0,0,3.0,4,C,4,,GO,EMBIARA,(UnB),2.4,0.6,Mw(mb(I0))
89,1949,9.0,17,,,,3.83,-51.84,0.0,100,5.0,3,C,4,450.0,AP,OIAPOQUE,,5.0,0.4,Mw(Af)
90,1949,12.0,31,,,,-5.69,-36.24,0.0,0,3.9,4,C,6,,RN,LAJES,,2.4,0.6,Mw(mb(I0))
91,1950,2.0,27,11.0,58.0,,-21.75,-46.65,0.0,25,4.4,3,C,5,40.,MG,Poços de Caldas,(IAG) Af=40000km2 A_iv=7600km2,3.9,0.4,Mw(Af)
92,1950,4.0,7,15.0,,,-5.9,-35.61,0.0,0,3.0,4,C,4,,RN,JOAO CAMARA,,2.4,0.6,Mw(mb(I0))
93,1951,4.0,24,,,,3.83,-51.84,0.0,0,4.7,3,C,4,150.,AP,OIAPOQUE,,4.4,0.4,Mw(Af)
94,1954,,0,,,,-9.93,-36.49,0.0,0,3.0,4,C,4,,AL,JUNQUEIRO,,2.4,0.6,Mw(mb(I0))
95,1955,1.0,31,5.0,3.0,6.0,-12.52,-57.35,0.0,30,6.2,0,I,-,900.,MT,SA. TOMBADOR,(USGS) M_PAS6.8;M_BCI6.6; relocal.Engdahl,5.7,0.33,0.7Mw(mb)+0.3Mw(Af)
96,1955,3.0,1,1.0,46.0,18.0,-19.84,-36.75,0.0,30,6.1,0,A,-,,ES,FTE.VITORIA,(ISC) VITORIA V MM; M(ROTHE)=6; MB(PAS)=6,5.8,0.3,Mw(mb)
97,1957,4.0,16,18.0,17.0,12.0,-9.5,-67.0,0.0,100,4.9,5,I,-,,AM,SUL AMAZONAS,(USGS),5.8,0.3,Mw(mb)
98,1959,2.0,5,13.0,50.0,,-11.54,-57.41,0.0,0,3.5,4,C,5,,MT,Porto dos Gauchos,sentido 2 vezes (UnB),2.4,0.6,Mw(mb(I0))
99,1959,5.0,25,23.0,8.0,,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO (ANEXO 4),2.9,0.6,Mw(mb(I0))
100,1959,5.0,27,17.0,5.0,,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,2.9,0.6,Mw(mb(I0))
101,1959,5.0,29,6.0,55.0,,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,2.9,0.6,Mw(mb(I0))
102,1961,10.0,3,20.0,35.0,54.0,0.4,-63.0,0.0,100,4.0,0,I,-,,AM,N AMAZONAS,(CARACAS; TRINID.-TOBAGO),3.7,0.3,Mw(mb)
103,1962,1.0,17,2.0,27.0,44.0,-22.93,-43.23,0.0,3,3.2,3,B,5,0.3,RJ,Rio de JANEIRO,reg. RDJ,2.4,0.4,Mw(Af)
104,1963,8.0,27,,,,-5.69,-36.24,0.0,0,3.7,4,C,5-6,,RN,LAJES,,3.3,0.6,Mw(mb(I0))
105,1963,8.0,30,3.0,0.0,,-18.0,-56.5,0.0,50,4.6,3,B,-,90.,MS,Pantanal,(Cor.do_Estado-C.Grande 1963-09-03)(*),4.2,0.4,Mw(Af)
106,1963,9.0,3,,,,-5.69,-36.24,0.0,0,3.7,3,C,-,3.0,RN,LAJES,SENT.J.CAMARA;AREA APROX.,3.1,0.4,Mw(Af)
107,1963,10.0,2,,,,-5.69,-36.24,0.0,0,3.9,4,C,6,,RN,LAJES,,3.3,0.6,Mw(mb(I0))
108,1963,12.0,14,0.0,5.0,41.0,-2.36,-61.02,45.0,30,5.1,0,C,-,,AM,MANAUS,(ISC) EHB RELOCAL.,4.8,0.3,Mw(mb)
109,1964,1.0,19,,,,-8.28,-35.96,0.0,0,3.5,4,C,5,,PE,CARUARU,TRES EVENTOS;10-12 HORAS?,3.3,0.6,Mw(mb(I0))
110,1964,2.0,13,11.0,21.0,46.0,-18.06,-56.69,5.0,30,5.4,0,I,-,240.,MS,NW DE MS,RELOCAL.; CAMPO GRANDE = V MM,4.9,0.33,0.7Mw(mb)+0.3Mw(Af)
111,1964,3.0,21,,,,-20.51,-45.59,0.0,0,3.0,4,C,4,,MG,PONTEVILA,DOIS EVENTOS,3.3,0.6,Mw(mb(I0))
112,1964,6.0,16,,,,-8.28,-35.96,0.0,0,3.5,4,C,5,,PE,CARUARU,VARIOS EVENTOS,3.3,0.6,Mw(mb(I0))
113,1964,6.0,19,3.0,56.0,20.0,2.64,-59.62,0.0,50,4.5,0,I,-,,RR,RR/GUIANA,(ISC) RELOCAL.,4.2,0.3,Mw(mb)
114,1965,8.0,12,,,,-19.94,-44.72,0.0,20,3.3,3,C,-,0.5,MG,IGARATINGA,DIA INCERTO,2.6,0.4,Mw(Af)
115,1965,8.0,15,19.0,36.0,56.0,2.68,-60.12,0.0,30,4.9,0,I,-,,RR,SE DE RR,(ISC); RELOCAL.; SEM PP,4.6,0.3,Mw(mb)
116,1966,11.0,15,8.0,,,-20.8,-46.0,0.0,0,3.2,4,C,4-5,,MG,REG. FURNAS,VARIOS;INDUZ.P.RESERVAT.?,2.9,0.6,Mw(mb(I0))
117,1967,1.0,21,18.0,59.0,48.0,-8.2,-35.98,0.0,10,3.8,1,B,5,7.0,PE,CARUARU,(UFRN),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
118,1967,3.0,23,21.0,12.0,15.0,-23.3,-45.0,0.0,20,4.1,0,A,6-7,30.0,SP,CUNHA,registrado em AREQUIPA,3.8,0.33,0.7Mw(mb)+0.3Mw(Af)
119,1967,8.0,5,9.0,56.0,10.0,-22.85,-43.12,0.0,10,3.6,1,B,5-6,2.7,RJ,SAO GONCALO,,3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
120,1967,8.0,9,7.0,14.0,8.0,-8.45,-73.83,42.0,30,5.1,0,I,-,,AC,PERU-BRASIL,,4.8,0.3,Mw(mb)
121,1967,8.0,18,21.0,24.0,24.0,-21.3,-60.6,0.0,100,4.7,0,I,-,,PY,PARAGUAI,(ISC),4.4,0.3,Mw(mb)
122,1968,1.0,13,1.0,55.0,51.0,-6.09,-38.44,0.0,10,3.9,2,C,6,25.0,CE,PEREIRO,(UFRN),3.6,0.33,0.7Mw(mb)+0.3Mw(Af)
123,1968,1.0,13,1.0,58.0,,-6.04,-38.46,0.0,0,2.8,4,C,3-4,,CE,PEREIRO,,2.4,0.6,Mw(mb(I0))
124,1968,1.0,18,10.0,40.0,,-6.09,-38.44,0.0,0,3.5,4,C,5,,RN,SALAO,DIA INCERTO,2.4,0.6,Mw(mb(I0))
125,1968,2.0,4,,,,-6.11,-38.44,0.0,0,3.2,4,C,4-5,,RN,JUNCO,,2.9,0.6,Mw(mb(I0))
126,1968,2.0,15,13.0,20.0,48.0,-6.09,-38.44,0.0,10,4.1,2,B,6,11.0,CE,PEREIRO,(UFRN),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
127,1968,2.0,23,14.0,23.0,2.0,-6.09,-38.44,0.0,5,4.6,2,A,7,84.0,CE,PEREIRO,(UFRN;IAG;ISC),4.2,0.33,0.7Mw(mb)+0.3Mw(Af)
128,1968,2.0,23,14.0,37.0,1.0,-6.09,-38.44,0.0,10,3.0,1,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,2.7,0.3,Mw(mb)
129,1968,2.0,23,15.0,21.0,16.0,-6.09,-38.44,0.0,10,3.0,1,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,2.7,0.3,Mw(mb)
130,1968,2.0,23,15.0,33.0,3.0,-6.09,-38.44,0.0,10,3.8,2,C,-,,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,3.5,0.3,Mw(mb)
131,1968,3.0,0,,,,-6.92,-39.58,0.0,0,3.0,4,C,4,,CE,FARIAS BRITO,,2.9,0.6,Mw(mb(I0))
132,1968,3.0,18,,,,-6.04,-38.46,0.0,0,3.7,4,C,5-6,,CE,PEREIRO,,3.3,0.6,Mw(mb(I0))
133,1968,8.0,27,5.0,17.0,36.0,-8.9,-72.89,26.0,30,4.9,0,I,-,,AC,W DO ACRE,(ISC H=50 ?),4.6,0.3,Mw(mb)
134,1968,10.0,15,19.0,54.0,20.0,-26.87,-60.88,20.0,30,5.0,4,I,6,,AR,Campo Largo; Chaco,(SJA;ZON/INPRES),3.3,0.6,Mw(mb(I0))
135,1969,3.0,5,16.0,28.0,55.0,-23.1,-60.6,0.0,100,4.1,0,I,-,,PY,PARAGUAI,(ISC),3.8,0.3,Mw(mb)
136,1970,1.0,12,4.0,43.0,8.0,-1.32,-48.48,0.0,30,4.5,2,B,6-7,10.0,PA,BELEM,(ISC;IAG;UnB) MAIS 4 EV.,3.9,0.33,0.7Mw(mb)+0.3Mw(Af)
137,1970,1.0,29,,,,-7.96,-36.21,0.0,0,3.9,4,C,6,,PE,S.C.CAPIBARI,DOIS EVENTOS,3.8,0.6,Mw(mb(I0))
138,1970,1.0,30,,,,-7.96,-36.21,0.0,0,3.5,4,C,5,,PE,S.C.CAPIBARI,,3.8,0.6,Mw(mb(I0))
139,1970,3.0,29,8.0,27.0,48.0,-8.29,-73.38,25.0,50,4.3,0,I,-,,AC,SA. DIVISOR,(ISC),4.0,0.3,Mw(mb)
140,1970,8.0,14,4.0,59.0,1.0,-13.5,-49.1,0.0,50,3.0,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,4.0,0.3,Mw(mb)
141,1970,11.0,0,,,,-6.93,-35.53,0.0,0,3.9,4,C,6,,PB,ALAGOINHA,,3.8,0.6,Mw(mb(I0))
142,1970,11.0,20,23.0,55.0,21.0,-13.5,-49.1,0.0,50,3.6,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,3.8,0.6,Mw(mb(I0))
143,1970,12.0,0,,,,-20.28,-44.75,0.0,3,3.4,3,B,4,0.7,MG,Carmo do CAJURU,INDUZIDO,2.7,0.4,Mw(Af)
144,1971,2.0,11,,,,-25.1,-48.9,0.0,0,3.0,4,C,4,,PR,CAPIVARI-CACHOEIRA,INDUZIDO POR RESERVATORIO,3.8,0.6,Mw(mb(I0))
145,1971,3.0,0,,,,-25.25,-48.8,0.0,0,3.7,4,C,5-6,,PR,CAPIVARI-CACHOEIRA,VARIOS; INDUZ.P.RESERVAT.,3.3,0.6,Mw(mb(I0))
146,1971,5.0,5,15.0,32.0,2.0,-17.0,-53.8,0.0,100,3.6,1,I,-,,MT,ALTO GARCAS,(UnB; mag=3.35+0.25) SENT. RONDONOPOLIS?,3.3,0.3,Mw(mb)
147,1971,5.0,21,16.0,,,-25.1,-48.9,0.0,0,3.9,4,C,6,,PR,CAPIV-CACHOE,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
148,1971,7.0,16,19.0,51.0,4.0,-13.5,-49.1,0.0,50,3.5,5,I,-,,GO,PORANGATU,(BERROCAL 1974) N. SENT.,3.3,0.6,Mw(mb(I0))
149,1971,8.0,5,2.0,30.0,,-8.04,-34.9,0.0,0,3.0,5,C,5,,PE,RECIFE,5 EV. (BERROCAL 1974),3.3,0.6,Mw(mb(I0))
