,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
34,1901,4,5,8,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
35,1901,6,2,2,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
36,1901,9,4,21,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
37,1903,2,10,0,0,0,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,M(Af),4.345,3.3,0.4,CE,BATURITE',,Mw(Af)
38,1903,2,12,0,0,0,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,M(Af),4.345,3.3,0.4,CE,BATURITE',,Mw(Af)
39,1903,2,14,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,M(Af),4.515,3.5,0.4,CE,BATURITE',,Mw(Af)
40,1903,2,15,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,M(Af),4.515,3.5,0.4,CE,BATURITE',,Mw(Af)
41,1903,2,16,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,M(Af),4.515,3.5,0.4,CE,BATURITE',,Mw(Af)
42,1905,1,1,15,30,0,-11.2,-42.3,0.0,100,4.7,3,B,4,140.0,M(Af),5.025,4.4,0.4,BA,XIQUE-XIQUE,,Mw(Af)
43,1905,7,18,22,30,0,-10.2,-40.4,0.0,100,4.8,3,B,5,180.0,M(Af),5.11,4.5,0.4,BA,S. DO BONFIM,ANO INCERTO; 1904 ?,Mw(Af)
44,1906,10,25,2,52,0,-19.0,-57.64,0.0,0,4.2,3,C,-,20.0,M(Af),4.6,3.7,0.4,MS,CORUMBA',REGISTRADO POR RDJ,Mw(Af)
45,1906,12,4,11,0,0,-20.95,-43.8,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MG,CARANDAI',,Mw(mb(I0))
46,1909,12,23,0,0,0,-2.41,-44.42,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MA,ALCANTARA,,Mw(mb(I0))
47,1911,3,15,23,55,0,-12.89,-38.69,0.0,20,3.3,3,C,-,0.4,M(Af),3.835,2.5,0.4,BA,ITAPARICA,,Mw(Af)
48,1911,3,22,18,0,0,-12.92,-38.67,0.0,20,4.4,4,C,7,,M(Io),4.77,4.1,0.6,BA,ITAPARICA,AREA MIN.=700KM2,Mw(mb(I0))
49,1912,4,19,8,0,0,-13.2,-38.89,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,BA,BR.JEQUIRICA,,Mw(mb(I0))
50,1915,2,2,0,0,0,-24.18,-46.79,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,SP,ITANHAEM,,Mw(mb(I0))
51,1915,11,6,18,30,0,-12.67,-38.63,0.0,20,4.0,3,B,6,1.7,M(Af),4.43,2.9,0.4,BA,I.DAS FONTES,AREA IV MM,Mw(Af)
52,1917,5,5,7,50,0,-21.6,-41.5,0.0,50,4.5,3,B,5,70.0,M(Af),4.855,4.1,0.4,RJ,CAMPOS,,Mw(Af)
53,1917,11,7,23,25,0,-12.48,-38.66,0.0,10,4.3,3,B,6-7,28.0,M(Af),4.685,3.8,0.4,BA,RIO FUNDO,,Mw(Af)
54,1917,11,8,1,0,0,-12.45,-38.62,0.0,0,3.7,3,C,4,2.3,M(Af),4.175,3.0,0.4,BA,RIO FUNDO,,Mw(Af)
55,1918,1,1,0,0,0,-23.53,-46.62,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,SP,SAO PAULO,,Mw(mb(I0))
56,1918,1,12,11,0,0,-12.45,-38.62,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,BA,RIO FUNDO,DOIS EVENTOS,Mw(mb(I0))
