,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
424,1986,9,3,1,16,6,-5.5,-35.74,0.0,5,4.1,1,A,6,,MR,4.515,3.8,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
425,1986,9,3,3,38,18,-5.53,-35.75,0.0,10,3.4,1,I,-,,MR,3.92,3.1,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
426,1986,9,3,4,19,50,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
427,1986,9,4,1,15,39,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
428,1986,9,4,1,31,21,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
429,1986,9,5,20,39,28,-5.51,-35.76,0.0,5,4.1,1,A,6,,MR,4.515,3.8,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
430,1986,9,5,20,46,17,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG) mb inferida,Mw(mb)
431,1986,9,5,20,57,23,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG) mb inferida,Mw(mb)
432,1986,9,9,9,17,22,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
433,1986,9,9,20,2,36,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
434,1986,9,9,23,29,2,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG),Mw(mb)
435,1986,9,11,9,5,41,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(IAG),Mw(mb)
436,1986,10,19,1,45,15,-23.45,-45.29,0.0,10,2.1,1,I,-,,MR,2.815,1.6,0.3,SP,S. Luis Par.,(IAG;IPT),Mw(mb)
437,1986,11,17,23,23,6,-11.56,-56.58,0.0,40,3.6,1,I,-,,MR,4.09,3.3,0.3,MT,Pto.Gauchos,(UnB),Mw(mb)
438,1986,11,30,3,57,24,-13.5,-48.75,0.0,100,3.2,1,I,-,,MR,3.75,2.8,0.3,GO,FORMOSO,(UnB),Mw(mb)
439,1986,11,30,5,19,50,-5.54,-35.76,5.0,5,5.1,1,A,7,,MR,5.365,5.0,0.3,RN,Joao Camara,(UnB;UFRN;IAG: pGT H.O.=AK135),Mw(mb)
440,1986,11,30,5,26,10,-5.53,-35.75,0.0,10,3.9,1,I,-,,MR,4.345,3.6,0.3,RN,Joao Camara,(UnB),Mw(mb)
441,1986,11,30,6,7,35,-5.53,-35.75,0.0,10,4.0,1,I,-,,MR,4.43,3.7,0.3,RN,Joao Camara,(UnB;IAG),Mw(mb)
442,1986,11,30,6,10,20,-5.53,-35.75,0.0,10,4.2,1,I,-,,MR,4.6,3.9,0.3,RN,Joao Camara,(UnB;IAG),Mw(mb)
443,1986,11,30,6,58,57,-5.53,-35.75,0.0,10,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(UnB;IAG),Mw(mb)
444,1986,11,30,7,2,5,-5.53,-35.75,0.0,10,4.2,1,I,-,,MR,4.6,3.9,0.3,RN,Joao Camara,(UnB;IAG),Mw(mb)
445,1986,11,30,14,1,47,-5.53,-35.75,0.0,10,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
446,1986,11,30,23,1,16,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
447,1986,11,30,23,2,47,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
448,1986,11,30,23,3,59,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
449,1986,12,1,1,4,51,-5.53,-35.75,0.0,10,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
450,1986,12,1,17,37,5,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
451,1986,12,1,21,59,16,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
452,1986,12,2,7,6,12,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
453,1986,12,2,9,50,48,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(IAG;UnB),Mw(mb)
454,1986,12,3,8,1,46,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
455,1986,12,3,10,6,2,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(UnB;IAG;UFRN),Mw(mb)
456,1986,12,3,21,55,37,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
457,1986,12,5,14,17,50,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG),Mw(mb)
458,1986,12,5,22,10,8,-5.53,-35.75,0.0,10,4.0,1,I,-,,MR,4.43,3.7,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
459,1986,12,6,3,4,21,-5.53,-35.75,0.0,10,3.4,1,I,-,,MR,3.92,3.1,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
460,1986,12,6,9,31,32,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
461,1986,12,6,9,51,4,-5.53,-35.75,0.0,10,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
462,1986,12,7,6,9,24,-8.24,-59.84,0.0,100,3.3,1,I,-,,MR,3.835,2.9,0.3,AM,R. ARIPUANA,(UnB),Mw(mb)
463,1986,12,7,20,18,9,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(IAG),Mw(mb)
464,1986,12,8,21,23,42,-5.49,-35.72,6.0,2,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
465,1986,12,8,21,49,3,-5.48,-35.7,6.0,3,3.5,1,I,-,,MR,4.005,3.2,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
466,1986,12,9,6,48,44,-5.526,-35.738,5.0,3,4.4,1,I,6,,MR,4.77,4.2,0.3,RN,Joao Camara,(IAG;UnB;UFRN) epic: 4P local net,Mw(mb)
467,1986,12,11,14,23,1,-5.53,-35.75,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RN,Joao Camara,(IAG),Mw(mb)
468,1986,12,13,4,32,17,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(IAG),Mw(mb)
469,1986,12,16,8,20,16,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(IAG),Mw(mb)
470,1986,12,16,21,52,18,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG),Mw(mb)
471,1986,12,20,2,5,43,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(IAG),Mw(mb)
472,1986,12,24,7,5,25,-5.53,-35.75,0.0,10,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(UnB;IAG;UFRN),Mw(mb)
473,1986,12,24,23,18,50,-5.53,-35.75,0.0,10,3.4,1,I,-,,MR,3.92,3.1,0.3,RN,Joao Camara,(IAG),Mw(mb)
474,1987,1,3,13,31,4,-5.53,-35.75,0.0,10,3.7,1,I,-,,MR,4.175,3.4,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
475,1987,1,4,2,24,48,-5.53,-35.75,0.0,10,3.5,1,I,-,,MR,4.005,3.2,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
476,1987,1,7,11,8,27,-5.6,-35.79,0.0,2,3.7,1,I,-,,MR,4.175,3.4,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
477,1987,1,7,12,14,16,-5.6,-35.79,0.0,2,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
478,1987,1,7,15,6,45,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
479,1987,1,13,6,38,59,-5.53,-35.75,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
480,1987,1,28,16,16,12,-5.52,-35.76,0.0,2,3.7,1,I,-,,MR,4.175,3.4,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
481,1987,1,30,2,3,0,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
482,1987,2,3,23,51,56,-5.5,-35.73,0.0,2,3.8,1,I,-,,MR,4.26,3.5,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
483,1987,2,7,7,48,14,-5.53,-35.75,0.0,10,3.4,1,I,-,,MR,3.92,3.1,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
484,1987,2,7,22,12,38,-5.49,-35.71,0.0,2,3.7,1,I,-,,MR,4.175,3.4,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
485,1987,2,23,20,1,37,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(IAG;UnB;UFRN),Mw(mb)
486,1987,2,24,20,15,6,-5.53,-35.75,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,Joao Camara,(UnB;UFRN;IAG),Mw(mb)
487,1987,2,25,21,37,4,-3.72,-39.81,0.0,50,3.0,1,C,4,0.8,MR,3.58,2.6,0.33,CE,ITAPAJE',(UnB;IAG) Uruburetama,0.7Mw(mb)+0.3Mw(Af)
488,1987,3,10,23,42,3,-5.0,-35.0,0.0,100,2.8,1,I,-,,MR,3.41,2.4,0.3,RN,Touros,(UFRN; IAG),Mw(mb)
489,1987,3,20,14,46,59,-24.7,-43.6,0.0,100,3.0,1,I,-,,MR,3.58,2.6,0.3,SP,Plat.Contin.,(IAG; IPT; ON),Mw(mb)
490,1987,3,21,20,39,14,-21.9,-45.6,0.0,5,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,S.Gonc.Sapuc,(IAG; IPT; ON),Mw(mb)
491,1987,3,22,3,15,9,-26.7,-44.2,0.0,100,3.2,1,I,-,,MR,3.75,2.8,0.3,PR,Plat.Contin.,(IAG; IPT; ON),Mw(mb)
492,1987,4,10,15,29,34,-20.01,-43.78,0.0,60,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,Nova Lima,(UnB),Mw(mb)
493,1987,4,28,4,59,17,-5.53,-35.75,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,RN,JOAO CAMARA,(IAG),Mw(mb)
494,1987,5,1,5,25,44,-20.8,-44.4,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,S.Joao del REI,(IAG; IPT),Mw(mb)
495,1987,5,17,5,32,15,-5.7,-36.05,0.0,50,2.0,1,B,-,0.7,MR,2.73,1.8,0.33,RN,CAICARA R.V.,(UFRN; IAG),0.7Mw(mb)+0.3Mw(Af)
496,1987,6,2,6,8,8,-8.38,-36.15,0.0,6,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,TACAIMBO',(IAG),Mw(mb)
497,1987,6,2,6,29,36,-8.38,-36.15,0.0,6,2.3,1,C,-,,MR,2.985,1.8,0.3,PE,TACAIMBO',(UFRN; IAG) varios,Mw(mb)
498,1987,6,2,19,16,0,-20.5,-44.5,0.0,50,2.8,1,I,-,,MR,3.41,2.4,0.3,MG,S. ITAGUARA,(IAG),Mw(mb)
499,1987,6,18,16,21,2,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
500,1987,6,27,5,9,2,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
501,1987,7,29,7,18,28,-27.6,-43.5,0.0,100,3.7,1,I,-,,MR,4.175,3.4,0.3,SP,ATLANTICO,(IAG; IPT),Mw(mb)
502,1987,8,3,11,34,47,-13.23,-39.68,0.0,5,2.3,1,C,-,0.113,MR,2.985,1.9,0.33,BA,V.JEQUIRICA',(IAG) VARIOS,0.7Mw(mb)+0.3Mw(Af)
503,1987,8,4,13,25,41,-21.4,-46.2,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,ALFENAS,(IAG; ON),Mw(mb)
504,1987,8,27,13,1,22,-25.0,-44.1,0.0,50,3.6,1,I,-,,MR,4.09,3.3,0.3,SP,Plat. Continental,(IAG; ON; IPT),Mw(mb)
505,1987,9,5,10,10,22,-21.3,-46.2,0.0,10,2.9,1,I,-,,MR,3.495,2.5,0.3,MG,NW Alfenas,(IAG; ON; IPT),Mw(mb)
506,1987,9,23,1,35,21,-19.55,-43.99,0.0,20,3.2,1,I,-,,MR,3.75,2.8,0.3,MG,LAGOA SANTA,(UnB; IAG),Mw(mb)
507,1987,9,28,20,18,49,-18.9,-44.0,0.0,80,3.1,1,I,-,,MR,3.665,2.7,0.3,MG,CORDISBURGO,(UnB),Mw(mb)
508,1987,10,14,1,8,19,-2.43,-55.15,0.0,50,3.5,1,I,-,,MR,4.005,3.2,0.3,PA,TUMUCUMAQUE?,(UnB) ou: 2.2 N 55.0 W,Mw(mb)
509,1987,10,15,9,1,41,-11.6,-56.9,0.0,50,3.9,1,I,-,,MR,4.345,3.6,0.3,MT,P. GAUCHOS,(UnB),Mw(mb)
510,1987,10,24,0,0,0,-23.37,-45.67,0.0,0,2.5,1,C,4,,MR,3.155,2.0,0.3,SP,PARAIBUNA,(IAG),Mw(mb)
511,1987,10,24,21,23,40,-7.01,-73.94,0.0,30,5.2,0,I,-,,mb,5.45,5.1,0.3,AC,Peru-Brasil,(USGS),Mw(mb)
512,1987,11,30,1,23,56,-5.53,-35.75,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG),Mw(mb)
513,1987,12,10,21,36,24,-11.5,-56.9,0.0,50,3.5,1,I,-,,MR,4.005,3.2,0.3,MT,P. GAUCHOS,(UnB)  57.9W ??,Mw(mb)
514,1987,12,11,9,17,40,-6.8,-51.2,0.0,50,3.0,1,I,-,,MR,3.58,2.6,0.3,PA,S.FELIX XIN.,(UnB),Mw(mb)
515,1987,12,15,11,22,41,-4.8,-50.45,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,PA,SA. CARAJAS,(UnB),Mw(mb)
516,1987,12,17,4,32,0,-20.1,-44.5,0.0,25,2.3,1,I,-,,MR,2.985,1.8,0.3,MG,C. CAJURU,(IAG; UnB; IPT),Mw(mb)
517,1987,12,17,5,13,40,-20.2,-44.8,0.0,25,2.4,1,I,-,,MR,3.07,1.9,0.3,MG,C. CAJURU,(IAG; UnB; IPT),Mw(mb)
518,1988,1,19,23,41,36,-0.4,-49.9,0.0,100,3.8,1,I,-,,MR,4.26,3.5,0.3,PA,CHAVES ?,(UnB),Mw(mb)
519,1988,2,16,15,3,0,5.02,-51.25,0.0,100,3.7,1,I,-,,MR,4.175,3.4,0.3,AP,Plataforma,(UnB),Mw(mb)
520,1988,2,22,22,27,18,-5.0,-38.2,0.0,30,2.0,1,I,-,,MR,2.73,1.5,0.3,CE,MORADA NOVA?,(UnB; IAG),Mw(mb)
521,1988,3,14,6,11,42,-4.7,-38.0,0.0,30,2.2,1,I,-,,MR,2.9,1.7,0.3,CE,PALHANO,(UnB; IAG),Mw(mb)
522,1988,3,14,10,31,51,-4.6,-37.9,0.0,30,2.1,1,I,-,,MR,2.815,1.6,0.3,CE,PALHANO ?,(UnB; IAG),Mw(mb)
523,1988,3,14,23,43,33,-4.6,-38.0,0.0,30,2.1,1,I,-,,MR,2.815,1.6,0.3,CE,PALHANO ?,(IAG; UFRN; UnB),Mw(mb)
524,1988,4,1,0,36,34,-3.95,-40.37,8.0,2,4.1,1,I,5-6,,MR,4.515,3.8,0.3,CE,GROAIRAS; Sobral,(UFRN; Kwitko-Assumpcao 1990) checar H.O.,Mw(mb)
525,1988,4,1,0,37,46,-3.95,-40.37,8.0,2,3.9,1,I,-,,MR,4.345,3.6,0.3,CE,GROAIRAS; sobral,(IAG),Mw(mb)
526,1988,4,5,3,0,51,-22.1,-51.34,0.0,20,3.8,1,A,6,5.0,MR,4.26,3.4,0.33,SP,P. PRUDENTE,(UnB; IAG),0.7Mw(mb)+0.3Mw(Af)
527,1988,4,14,4,20,11,-4.8,-38.1,0.0,30,2.1,1,I,-,,MR,2.815,1.6,0.3,CE,PALHANO ?,(UnB; IAG),Mw(mb)
528,1988,4,30,7,33,16,-4.7,-38.3,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,CE,PALHANO ?,(UnB; IAG),Mw(mb)
529,1988,5,1,3,33,21,-4.7,-38.2,0.0,30,2.6,1,I,-,,MR,3.24,2.2,0.3,CE,PALHANO ?,(UnB; IAG),Mw(mb)
530,1988,5,13,9,0,21,-5.05,-37.63,0.0,100,2.3,1,I,-,,MR,2.985,1.8,0.3,RN,BARAUNA,(UnB; IAG),Mw(mb)
531,1988,6,5,16,50,32,0.92,-61.66,0.0,50,3.8,1,I,-,,MR,4.26,3.5,0.3,RR,S.JOSE ANAUA,(UnB),Mw(mb)
532,1988,6,7,6,33,14,-24.32,-58.12,0.0,100,3.0,1,I,-,,MR,3.58,2.6,0.3,PY,PARAGUAI,(UnB; IAG),Mw(mb)
533,1988,6,11,23,59,29,-4.3,-41.48,0.0,70,3.1,1,I,-,,MR,3.665,2.7,0.3,PI,PEDRO II,(UnB; IAG),Mw(mb)
534,1988,6,24,10,1,44,-20.66,-57.97,0.0,50,3.9,1,I,-,,MR,4.345,3.6,0.3,MS,MS,(USGS; UnB; IAG),Mw(mb)
535,1988,6,25,11,56,26,-5.53,-35.75,0.0,15,3.4,1,I,-,,MR,3.92,3.1,0.3,RN,JOAO CAMARA,(UnB) SERIE DE EVENTOS,Mw(mb)
536,1988,6,26,3,24,22,-36.27,-52.73,18.0,40,4.9,2,I,-,,M(bR),5.195,4.7,0.3,UR,URUGUAI,(USGS; UnB; IAG; SJA) Felt III Uruguay,Mw(mb)
537,1988,6,29,13,14,27,-5.53,-35.75,0.0,15,3.9,1,C,-,,MR,4.345,3.6,0.3,RN,JOAO CAMARA,(UnB; FOLHA S.PAULO),Mw(mb)
538,1988,7,19,10,30,0,-20.73,-47.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,SP,NUPORANGA,(TV Globo;Rib.Preto),Mw(mb(I0))
539,1988,7,21,21,13,27,-24.75,-40.42,0.0,100,2.5,1,I,-,,MR,3.155,2.0,0.3,RJ,PLATAFORMA,(IAG; IPT),Mw(mb)
540,1988,8,11,7,6,14,-11.62,-56.99,0.0,50,3.7,1,I,-,,MR,4.175,3.4,0.3,MT,P. GAUCHOS,(UnB; IAG),Mw(mb)
541,1988,8,11,8,6,17,-11.63,-57.95,0.0,50,4.0,1,I,-,,MR,4.43,3.7,0.3,MT,P. GAUCHOS,(UnB; IAG),Mw(mb)
542,1988,8,30,12,51,24,-23.37,-45.67,0.0,10,2.7,1,I,-,,MR,3.325,2.3,0.3,SP,PARAIBUNA,(IPT; IAG),Mw(mb)
543,1988,8,30,15,40,20,-6.09,-47.96,0.0,30,3.5,1,I,5,,MR,4.005,3.2,0.3,TO,ARAGUATINS,(UnB; IAG),Mw(mb)
544,1988,9,1,2,56,53,-18.8,-45.14,0.0,20,2.6,1,I,-,,MR,3.24,2.2,0.3,MG,TRES MARIAS,(UnB; IAG; ON),Mw(mb)
545,1988,9,2,17,51,7,-23.37,-45.67,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,SP,PARAIBUNA,(IPT; IAG),Mw(mb)
546,1988,9,3,1,46,30,-23.37,-45.67,0.0,10,2.4,1,I,-,,MR,3.07,1.9,0.3,SP,PARAIBUNA,(IPT; IAG),Mw(mb)
547,1988,9,3,3,49,19,-23.37,-45.67,0.0,10,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,PARAIBUNA,(IPT; IAG),Mw(mb)
548,1988,9,3,7,29,23,-3.1,-59.76,0.0,50,3.8,1,I,-,,MR,4.26,3.5,0.3,AM,RIO JATAPU,(UnB),Mw(mb)
549,1988,9,6,7,2,54,-23.36,-45.63,0.0,6,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,PARAIBUNA,(IPT; IAG),Mw(mb)
550,1988,9,19,3,5,59,-25.29,-45.09,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,SP,Plataforma,(IAG;IPT;ON) corrigido,Mw(mb)
551,1988,10,1,1,39,40,-5.53,-35.75,0.0,15,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
552,1988,10,1,16,43,38,-5.53,-35.75,0.0,15,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
553,1988,10,3,1,3,35,-5.53,-35.75,0.0,15,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
554,1988,10,3,5,2,36,-11.66,-56.91,0.0,40,3.2,1,I,-,,MR,3.75,2.8,0.3,MT,PTO. GAUCHOS,(UnB),Mw(mb)
555,1988,10,3,23,57,56,-5.53,-35.75,0.0,15,3.1,1,I,-,,MR,3.665,2.7,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
556,1988,10,4,15,23,33,-5.53,-35.75,0.0,15,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
557,1988,10,4,22,18,43,-4.82,-37.97,0.0,5,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,PALHANO,(IAG),Mw(mb)
558,1988,10,12,8,16,33,-27.3,-46.97,0.0,50,2.9,1,I,-,,MR,3.495,2.5,0.3,SC,PLATAFORMA,(IAG; IPT; UnB),Mw(mb)
559,1988,10,18,9,44,37,-4.81,-37.98,4.0,2,3.7,1,I,-,,MR,4.175,3.4,0.3,CE,PALHANO,(UFRN; UnB; IAG),Mw(mb)
560,1988,10,18,21,3,29,-4.81,-37.98,4.0,2,3.9,1,I,-,,MR,4.345,3.6,0.3,CE,PALHANO,(UFRN; UnB; IAG),Mw(mb)
561,1988,10,19,2,15,51,-4.81,-37.98,4.0,2,4.2,1,I,6,,MR,4.6,3.9,0.3,CE,PALHANO,(UFRN; UnB; IAG; Assumpcao_etal 1989),Mw(mb)
562,1988,10,19,6,2,35,-24.8,-42.0,0.0,100,2.1,1,I,-,,MR,2.815,1.6,0.3,SP,PLATAFORMA,(IPT; IAG),Mw(mb)
563,1988,10,29,3,24,28,-4.81,-37.97,4.0,2,4.1,1,I,6,,MR,4.515,3.8,0.3,CE,PALHANO,(UFRN; UnB; IAG),Mw(mb)
564,1988,10,29,15,30,7,-4.81,-37.97,0.0,4,3.3,1,I,-,,MR,3.835,2.9,0.3,CE,PALHANO,(IAG),Mw(mb)
565,1988,10,29,16,18,9,-4.81,-37.97,0.0,4,3.0,1,I,-,,MR,3.58,2.6,0.3,CE,PALHANO,(IAG),Mw(mb)
566,1988,10,30,7,13,4,-4.81,-37.97,5.0,2,3.2,1,I,-,,MR,3.75,2.8,0.3,CE,PALHANO,(UFRN; UnB; IAG),Mw(mb)
567,1988,11,1,14,25,29,-5.53,-35.75,0.0,15,3.3,1,I,-,,MR,3.835,2.9,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
568,1988,11,9,20,38,9,-26.1,-52.1,0.0,100,2.1,1,I,-,,MR,2.815,1.6,0.3,PR,MANGUEIRINHA,(UnB) explosao ?,Mw(mb)
569,1988,11,10,20,15,3,-4.81,-37.98,0.0,5,3.3,1,I,-,,MR,3.835,2.9,0.3,CE,PALHANO,(IAG; UFRN),Mw(mb)
570,1988,11,10,22,36,25,-20.31,-47.35,0.0,30,2.3,1,I,-,,MR,2.985,1.8,0.3,SP,FRANCA,(UnB; IPT; IAG) expl.?,Mw(mb)
571,1988,11,28,19,32,39,-5.53,-35.75,0.0,15,3.0,1,I,-,,MR,3.58,2.6,0.3,RN,JOAO CAMARA,(IAG; UFRN),Mw(mb)
572,1988,12,10,9,52,19,-0.73,-59.38,0.0,50,3.8,1,I,-,,MR,4.26,3.5,0.3,RR,JUNDIA',(UnB),Mw(mb)
573,1988,12,10,10,28,48,-4.81,-37.98,0.0,5,3.4,1,I,-,,MR,3.92,3.1,0.3,CE,PALHANO,(IAG; UFRN),Mw(mb)
574,1988,12,23,15,34,54,-23.0,-44.21,0.0,1,2.8,1,I,5,0.6,MR,3.41,2.4,0.33,RJ,Monsuaba,(IAG;ON;IPT) Angra II MM,0.7Mw(mb)+0.3Mw(Af)
575,1988,12,25,17,3,16,-23.0,-44.21,0.0,1,2.6,1,I,4-5,,MR,3.24,2.2,0.3,RJ,Monsuaba,(IAG;ON;IPT),Mw(mb)
576,1988,12,25,17,35,0,-23.0,-44.22,0.0,3,2.1,5,I,4,,Ind,2.815,2.2,0.3,RJ,Monsuaba,(IAG;ON;IPT),Mw(mb)
577,1988,12,27,1,53,42,-22.99,-44.21,0.0,1,2.2,5,I,4,,Ind,2.9,2.2,0.3,RJ,Monsuaba,(IAG;ON;IPT),Mw(mb)
578,1988,12,28,2,29,46,-23.0,-44.22,0.0,1,2.0,5,I,4,,Ind,2.73,2.2,0.3,RJ,Monsuaba,(IAG;ON;IPT),Mw(mb)
579,1988,12,29,21,48,37,-14.08,-48.16,0.0,50,2.4,1,I,-,,MR,3.07,1.9,0.3,GO,NIQUELANDIA,(SAAS-UnB),Mw(mb)
580,1989,1,6,19,2,24,-23.37,-45.67,0.0,10,2.3,1,I,-,,MR,2.985,1.8,0.3,SP,Paraibuna,(IPT;IAG),Mw(mb)
581,1989,1,7,3,1,13,-11.62,-48.11,0.0,40,3.8,1,I,-,,MR,4.26,3.5,0.3,TO,Natividade,(UnB;IAG),Mw(mb)
