,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
37,1903,2,10,0,0,0,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,CE,BATURITE',,3.3,0.4,Mw(Af)
38,1903,2,12,0,0,0,-4.38,-38.97,0.0,30,3.9,3,C,-,5.5,CE,BATURITE',,3.3,0.4,Mw(Af)
39,1903,2,14,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
40,1903,2,15,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
41,1903,2,16,0,0,0,-4.38,-38.97,0.0,30,4.1,3,C,6,12.0,CE,BATURITE',,3.5,0.4,Mw(Af)
42,1905,1,1,15,30,0,-11.2,-42.3,0.0,100,4.7,3,B,4,140.0,BA,XIQUE-XIQUE,,4.4,0.4,Mw(Af)
43,1905,7,18,22,30,0,-10.2,-40.4,0.0,100,4.8,3,B,5,180.0,BA,S. DO BONFIM,ANO INCERTO; 1904 ?,4.5,0.4,Mw(Af)
44,1906,10,25,2,52,0,-19.0,-57.64,0.0,0,4.2,3,C,-,20.0,MS,CORUMBA',REGISTRADO POR RDJ,3.7,0.4,Mw(Af)
45,1906,12,4,11,0,0,-20.95,-43.8,0.0,0,3.2,4,C,4-5,,MG,CARANDAI',,2.9,0.6,Mw(mb(I0))
46,1909,1,29,0,0,0,-28.5,-49.0,0.0,100,4.5,3,C,4,70.,SC,Tubarao,(Corr.Mun.-Caxias-RS-1909-02-25) (*),4.1,0.4,Mw(Af)
47,1909,12,23,0,0,0,-2.41,-44.42,0.0,0,3.0,4,C,4,,MA,ALCANTARA,,2.9,0.6,Mw(mb(I0))
48,1911,3,15,23,55,0,-12.89,-38.69,0.0,20,3.3,3,C,-,0.4,BA,ITAPARICA,,2.5,0.4,Mw(Af)
49,1911,3,22,18,0,0,-12.92,-38.67,0.0,20,4.4,4,C,7,,BA,ITAPARICA,AREA MIN.=700KM2,2.9,0.6,Mw(mb(I0))
50,1912,4,19,8,0,0,-13.2,-38.89,0.0,0,3.7,4,C,5-6,,BA,BR.JEQUIRICA,,3.3,0.6,Mw(mb(I0))
51,1915,2,2,0,0,0,-24.18,-46.79,0.0,0,3.2,4,C,4-5,,SP,ITANHAEM,,2.9,0.6,Mw(mb(I0))
52,1915,11,6,18,30,0,-12.67,-38.63,0.0,20,4.0,3,B,6,1.7,BA,I.DAS FONTES,AREA IV MM,2.9,0.4,Mw(Af)
53,1917,5,5,7,50,0,-21.6,-41.5,0.0,50,4.5,3,B,5,70.0,RJ,CAMPOS,,4.1,0.4,Mw(Af)
54,1917,11,7,23,25,0,-12.48,-38.66,0.0,10,4.3,3,B,6-7,28.0,BA,RIO FUNDO,,3.8,0.4,Mw(Af)
55,1917,11,8,1,0,0,-12.45,-38.62,0.0,0,3.7,3,C,4,2.3,BA,RIO FUNDO,,3.0,0.4,Mw(Af)
56,1918,1,1,0,0,0,-23.53,-46.62,0.0,0,3.0,4,C,4,,SP,SAO PAULO,,3.8,0.6,Mw(mb(I0))
57,1918,1,12,11,0,0,-12.45,-38.62,0.0,0,3.7,4,C,5-6,,BA,RIO FUNDO,DOIS EVENTOS,3.3,0.6,Mw(mb(I0))
58,1919,6,1,21,30,0,-18.0,-56.0,0.0,100,4.9,3,C,5,280.0,MS,CORUMBA',SENT. CUIABA' e STA.LUZIA ATUAL LUZIANIA?,4.7,0.4,Mw(Af)
59,1919,6,5,4,20,0,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,MG,BOM SUCESSO,OUTROS EVENTOS,2.9,0.6,Mw(mb(I0))
60,1919,9,1,0,0,0,-17.3,-46.85,0.0,0,2.8,4,C,3-4,,MG,PARACATU,(WILLIAMS 1922),2.4,0.6,Mw(mb(I0))
61,1919,11,9,14,0,0,-12.75,-38.68,0.0,20,3.8,3,C,4,3.7,BA,ACUPE,,3.1,0.4,Mw(Af)
62,1919,11,10,0,0,0,-12.59,-38.62,0.0,20,3.6,3,C,4,1.7,BA,SANTO AMARO,,2.9,0.4,Mw(Af)
63,1919,11,13,0,0,0,-12.55,-38.7,0.0,0,3.5,4,C,5,,BA,SANTO AMARO,DOIS EVENTOS,2.4,0.6,Mw(mb(I0))
64,1919,11,16,9,55,0,-12.67,-38.68,0.0,20,3.5,3,C,5,1.2,BA,S.B.DASLAJES,,2.8,0.4,Mw(Af)
65,1919,11,23,4,20,0,-12.65,-38.62,0.0,10,4.2,3,B,7,3.0,BA,M.RECONCAVO,AREA IV MM,3.1,0.4,Mw(Af)
66,1919,11,24,6,0,0,-3.87,-38.92,0.0,50,4.5,3,B,4,70.0,CE,MARANGUAPE,,4.1,0.4,Mw(Af)
67,1920,1,31,11,10,0,-21.03,-44.75,0.0,10,4.0,3,B,6,9.5,MG,BOM SUCESSO,,3.4,0.4,Mw(Af)
68,1920,2,1,4,35,0,-21.03,-44.75,0.0,0,3.2,4,C,4-5,,MG,BOM SUCESSO,VARIOS EVENTOS,2.9,0.6,Mw(mb(I0))
69,1920,2,9,16,20,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,2.9,0.6,Mw(mb(I0))
70,1920,3,11,22,15,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,,2.9,0.6,Mw(mb(I0))
71,1922,1,27,6,50,40,-22.17,-47.04,0.0,40,5.1,3,A,6,250.0,SP,MOGI GUACU,(Assumpcao et al.1979),4.7,0.4,Mw(Af)
72,1924,1,1,0,0,0,-8.28,-35.96,0.0,0,3.0,4,C,4,,PE,CARUARU,,2.9,0.6,Mw(mb(I0))
73,1927,1,1,3,0,0,-6.04,-38.46,0.0,0,3.0,4,C,4,,CE,PEREIRO,,2.9,0.6,Mw(mb(I0))
74,1928,4,15,21,59,0,-4.56,-37.76,0.0,0,4.0,3,C,6,10.0,CE,ARACATI,AREA APROXIMADA,3.4,0.4,Mw(Af)
75,1928,6,8,21,30,0,-5.42,-39.36,0.0,0,3.6,3,C,3-4,2.0,CE,LACERDA,,3.0,0.4,Mw(Af)
76,1935,1,2,1,12,18,-29.6,-60.0,0.0,30,3.0,3,C,4,,AR,Vera; Santa Fe,(LPA;SJA/INPRES),,,
77,1935,10,21,10,40,0,-21.03,-44.75,0.0,10,3.7,3,C,5-6,2.8,MG,BOM SUCESSO,OUTROS EVENTOS,3.1,0.4,Mw(Af)
78,1939,6,28,11,32,22,-29.0,-48.0,0.0,90,5.5,3,A,6,1100.,SC,TUBARAO,(ISS; IAG)  I.E.I.= VII,5.6,0.4,Mw(Af)
79,1941,4,11,12,5,0,-16.1,-54.5,0.0,70,4.4,3,B,5,51.,MT,RONDONOPOLIS CUIABA,POXOREU,4.0,0.4,Mw(Af)
80,1942,1,1,18,30,0,-3.1,-40.84,0.0,0,3.0,4,C,4,,CE,GRANJA,,3.3,0.6,Mw(mb(I0))
81,1946,2,19,4,0,0,-21.31,-46.71,0.0,0,3.0,4,C,4,,MG,GUAXUPE',,3.3,0.6,Mw(mb(I0))
82,1946,7,18,7,15,0,-25.1,-47.7,0.0,30,4.6,3,A,4-5,60.0,SP,CANANEIA,AREA IV = 25000 KM2,4.1,0.4,Mw(Af)
83,1946,10,7,20,25,0,-1.44,-48.48,0.0,0,2.8,4,C,3-4,,PA,BELEM,,2.4,0.6,Mw(mb(I0))
84,1946,10,13,10,45,0,-21.79,-46.58,0.0,0,3.6,3,B,4,5.,MG,P. de Caldas; Caconde,(J.Noticias-SP-1946-10-15; 1946-11-29) Fe,3.2,0.4,Mw(Af)
85,1947,1,1,0,0,0,-21.79,-46.58,0.0,0,3.0,4,C,4,,MG,POCOS DE CALDAS,Provavel 13.10.1946,2.4,0.6,Mw(mb(I0))
86,1947,12,15,19,5,0,-21.7,-57.9,0.0,0,3.5,4,C,5,,MS,Pto. MURTINHO,SENT. P.QUEBRACHO; JARDIM,2.4,0.6,Mw(mb(I0))
87,1948,1,21,16,47,40,-30.5,-58.0,0.0,30,5.5,4,B,6,,AR,M.Caseros;Corrientes,(SJA/INPRES),2.4,0.6,Mw(mb(I0))
88,1948,5,1,0,0,0,-15.07,-49.97,0.0,0,3.0,4,C,4,,GO,EMBIARA,(UnB),2.4,0.6,Mw(mb(I0))
89,1949,9,17,0,0,0,3.83,-51.84,0.0,100,5.0,3,C,4,450.0,AP,OIAPOQUE,,5.0,0.4,Mw(Af)
90,1949,12,31,0,0,0,-5.69,-36.24,0.0,0,3.9,4,C,6,,RN,LAJES,,2.4,0.6,Mw(mb(I0))
91,1950,2,27,11,58,0,-21.75,-46.65,0.0,25,4.4,3,C,5,40.,MG,Poços de Caldas,(IAG) Af=40000km2 A_iv=7600km2,3.9,0.4,Mw(Af)
92,1950,4,7,15,0,0,-5.9,-35.61,0.0,0,3.0,4,C,4,,RN,JOAO CAMARA,,2.4,0.6,Mw(mb(I0))
93,1951,4,24,0,0,0,3.83,-51.84,0.0,0,4.7,3,C,4,150.,AP,OIAPOQUE,,4.4,0.4,Mw(Af)
94,1954,1,1,0,0,0,-9.93,-36.49,0.0,0,3.0,4,C,4,,AL,JUNQUEIRO,,2.4,0.6,Mw(mb(I0))
95,1955,1,31,5,3,6,-12.52,-57.35,0.0,30,6.2,0,I,-,900.,MT,SA. TOMBADOR,(USGS) M_PAS6.8;M_BCI6.6; relocal.Engdahl,5.7,0.33,0.7Mw(mb)+0.3Mw(Af)
96,1955,3,1,1,46,18,-19.84,-36.75,0.0,30,6.1,0,A,-,,ES,FTE.VITORIA,(ISC) VITORIA V MM; M(ROTHE)=6; MB(PAS)=6,5.8,0.3,Mw(mb)
97,1957,4,16,18,17,12,-9.5,-67.0,0.0,100,4.9,5,I,-,,AM,SUL AMAZONAS,(USGS),5.8,0.3,Mw(mb)
98,1959,2,5,13,50,0,-11.54,-57.41,0.0,0,3.5,4,C,5,,MT,Porto dos Gauchos,sentido 2 vezes (UnB),2.4,0.6,Mw(mb(I0))
99,1959,5,25,23,8,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO (ANEXO 4),2.9,0.6,Mw(mb(I0))
100,1959,5,27,17,5,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,2.9,0.6,Mw(mb(I0))
101,1959,5,29,6,55,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,2.9,0.6,Mw(mb(I0))
102,1961,10,3,20,35,54,0.4,-63.0,0.0,100,4.0,0,I,-,,AM,N AMAZONAS,(CARACAS; TRINID.-TOBAGO),3.7,0.3,Mw(mb)
103,1962,1,17,2,27,44,-22.93,-43.23,0.0,3,3.2,3,B,5,0.3,RJ,Rio de JANEIRO,reg. RDJ,2.4,0.4,Mw(Af)
104,1963,8,27,0,0,0,-5.69,-36.24,0.0,0,3.7,4,C,5-6,,RN,LAJES,,3.3,0.6,Mw(mb(I0))
105,1963,8,30,3,0,0,-18.0,-56.5,0.0,50,4.6,3,B,-,90.,MS,Pantanal,(Cor.do_Estado-C.Grande 1963-09-03)(*),4.2,0.4,Mw(Af)
106,1963,9,3,0,0,0,-5.69,-36.24,0.0,0,3.7,3,C,-,3.0,RN,LAJES,SENT.J.CAMARA;AREA APROX.,3.1,0.4,Mw(Af)
107,1963,10,2,0,0,0,-5.69,-36.24,0.0,0,3.9,4,C,6,,RN,LAJES,,3.3,0.6,Mw(mb(I0))
108,1963,12,14,0,5,41,-2.36,-61.02,45.0,30,5.1,0,C,-,,AM,MANAUS,(ISC) EHB RELOCAL.,4.8,0.3,Mw(mb)
109,1964,1,19,0,0,0,-8.28,-35.96,0.0,0,3.5,4,C,5,,PE,CARUARU,TRES EVENTOS;10-12 HORAS?,3.3,0.6,Mw(mb(I0))
110,1964,2,13,11,21,46,-18.06,-56.69,5.0,30,5.4,0,I,-,240.,MS,NW DE MS,RELOCAL.; CAMPO GRANDE = V MM,4.9,0.33,0.7Mw(mb)+0.3Mw(Af)
111,1964,3,21,0,0,0,-20.51,-45.59,0.0,0,3.0,4,C,4,,MG,PONTEVILA,DOIS EVENTOS,3.3,0.6,Mw(mb(I0))
112,1964,6,16,0,0,0,-8.28,-35.96,0.0,0,3.5,4,C,5,,PE,CARUARU,VARIOS EVENTOS,3.3,0.6,Mw(mb(I0))
113,1964,6,19,3,56,20,2.64,-59.62,0.0,50,4.5,0,I,-,,RR,RR/GUIANA,(ISC) RELOCAL.,4.2,0.3,Mw(mb)
114,1965,8,12,0,0,0,-19.94,-44.72,0.0,20,3.3,3,C,-,0.5,MG,IGARATINGA,DIA INCERTO,2.6,0.4,Mw(Af)
115,1965,8,15,19,36,56,2.68,-60.12,0.0,30,4.9,0,I,-,,RR,SE DE RR,(ISC); RELOCAL.; SEM PP,4.6,0.3,Mw(mb)
116,1966,11,15,8,0,0,-20.8,-46.0,0.0,0,3.2,4,C,4-5,,MG,REG. FURNAS,VARIOS;INDUZ.P.RESERVAT.?,2.9,0.6,Mw(mb(I0))
117,1967,1,21,18,59,48,-8.2,-35.98,0.0,10,3.8,1,B,5,7.0,PE,CARUARU,(UFRN),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
