,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
163,1973,6,26,5,25,2,-5.28,-35.82,0.0,0,3.1,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.8,0.3,Mw(mb)
164,1973,7,8,22,38,30,-13.41,-49.05,0.0,50,3.3,1,I,-,,GO,PORANGATU,(UnB) NAO SENTIDO,3.0,0.3,Mw(mb)
165,1973,7,20,13,35,25,-5.28,-35.82,0.0,0,3.9,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,3.6,0.3,Mw(mb)
166,1973,7,22,21,22,50,-5.28,-35.82,0.0,10,4.3,2,B,6-7,25.0,RN,PARAZINHO,(UFRN)   (LAO MB4.1),3.9,0.33,0.7Mw(mb)+0.3Mw(Af)
167,1973,7,22,21,33,27,-5.28,-35.82,0.0,0,3.0,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.7,0.3,Mw(mb)
168,1973,7,23,13,27,10,-5.28,-35.82,0.0,0,3.0,1,C,-,,RN,PARAZINHO,(UFRN) HORA NOTICIADA 11H,2.7,0.3,Mw(mb)
169,1973,7,23,23,35,51,-5.28,-35.82,0.0,0,3.0,1,I,-,,RN,PARAZINHO,(UFRN) EPI. INFERIDO,2.7,0.3,Mw(mb)
170,1974,2,3,20,20,23,-29.5,-42.54,0.0,30,4.4,0,I,-,,SC,ATLANTICO,(ISC),4.1,0.3,Mw(mb)
171,1974,2,15,0,0,0,-20.04,-48.47,0.0,0,3.0,4,C,4,,MG,CONC.ALAGOAS,INDUZIDO POR RESERVATORIO,3.8,0.6,Mw(mb(I0))
172,1974,2,24,3,19,40,-20.04,-48.47,0.0,10,4.2,2,B,6-7,7.0,MG,CONCEICAO DAS ALAGOAS,INDUZIDO POR RESERVATORIO,3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
173,1974,2,27,0,0,0,-20.04,-48.47,0.0,0,3.5,4,C,5,,MG,CONC.ALAGOAS,INDUZIDO POR RESERVATORIO,3.8,0.6,Mw(mb(I0))
174,1974,3,1,9,0,0,-20.04,-48.47,0.0,0,3.2,4,C,4-5,,MG,CONCEICAO DAS ALAGOAS,INDUZIDO POR RESERVATORIO,2.9,0.6,Mw(mb(I0))
175,1974,3,2,18,15,0,-20.04,-48.47,0.0,0,3.5,4,C,5,,MG,CONCEICAO DAS ALAGOAS,4 EVEN.-INDUZ.P.RESERVAT.,2.9,0.6,Mw(mb(I0))
176,1974,3,20,0,0,0,-29.45,-51.5,0.0,0,3.0,4,C,4,,RS,SALV.DO SUL,,2.9,0.6,Mw(mb(I0))
177,1974,4,11,0,0,0,-16.42,-41.64,0.0,5,3.7,3,C,6-7,2.8,MG,TUPARECE,+ DE 200 EM ABRIL/74; INT.< V (!?),3.1,0.4,Mw(Af)
178,1974,6,12,17,39,16,5.58,-60.6,0.0,50,3.9,1,I,-,,RR,GUIANA/RR,(ISC; TRN),3.6,0.3,Mw(mb)
179,1974,10,20,21,37,32,-7.99,-36.06,0.0,10,3.6,1,C,5,0.5,PE,TORITAMA,(UFRN),3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
180,1974,10,20,21,59,0,-7.99,-36.06,0.0,0,2.9,1,I,-,,PE,TORITAMA,(UFRN) EPICENTRO INFERIDO,2.6,0.3,Mw(mb)
181,1974,10,21,2,18,11,-7.99,-36.06,0.0,0,2.8,1,C,-,,PE,TORITAMA,(UFRN) NOTICIADO 22:30,2.5,0.3,Mw(mb)
182,1974,12,15,5,14,46,-3.67,-39.24,0.0,0,3.3,1,C,6,,CE,S.L. DO CURU,(UFRN),3.0,0.3,Mw(mb)
183,1975,2,4,19,1,17,5.99,-61.48,0.0,50,3.7,2,I,-,,RR,VENEZUELA/RR,(ISC;TRN),3.4,0.3,Mw(mb)
184,1975,3,30,17,6,0,-23.4,-42.4,0.0,30,3.5,1,I,-,,RJ,PLATAFORMA CONT.,(IAG),3.2,0.3,Mw(mb)
185,1975,6,22,14,4,44,1.5,-70.3,0.0,50,3.5,5,I,-,,AM,COLOMBIA/AM,(ISC),3.2,0.3,Mw(mb)
186,1975,12,8,8,21,26,-24.94,-44.16,0.0,30,3.4,1,I,-,,SP,PLAT. CONT.,(UnB),3.1,0.3,Mw(mb)
187,1976,1,5,13,6,58,-15.35,-50.46,0.0,15,3.7,1,I,5-6,13.0,GO,ITAPIRAPUAN,(UnB: mag BDF=3.2+0.5),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
188,1976,1,23,0,0,0,-24.52,-50.42,0.0,0,3.0,4,C,4,,PR,TIBAGI,,3.3,0.6,Mw(mb(I0))
189,1976,2,22,3,24,50,0.34,-59.23,5.0,30,4.6,0,I,-,,RR,SE RORAIMA,(ISC) RELOCAL.,4.3,0.3,Mw(mb)
190,1976,4,16,0,0,0,-22.73,-50.98,0.0,0,3.7,4,C,5-6,,SP,B. CAPIVARA,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
191,1976,5,18,8,30,0,-14.88,-39.63,0.0,20,3.7,3,B,6,2.7,BA,IBICARAI',(IAG),3.0,0.4,Mw(Af)
192,1976,5,19,8,12,30,-14.88,-39.63,0.0,100,2.8,1,I,-,,BA,IBICARAI'?,(UnB) 900KM DE BDF,2.5,0.3,Mw(mb)
193,1976,5,23,19,0,0,-20.28,-44.75,0.0,0,3.2,5,I,-,,MG,C. CAJURU,(UnB/CEMIG),2.5,0.3,Mw(mb)
194,1976,5,25,8,30,0,-14.76,-39.57,0.0,20,3.9,3,B,6,6.3,BA,IBICARAI',2 EVENTOS (FERREIRA 1983),3.3,0.4,Mw(Af)
195,1976,6,8,21,0,0,-5.7,-35.5,0.0,0,3.4,3,C,-,0.7,RN,IELM.MARINHO,AREA APROX.,2.7,0.4,Mw(Af)
196,1976,6,12,0,0,0,-22.84,-51.01,0.0,0,3.7,4,C,5-6,,PR,PRIM.DE MAIO,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
197,1976,6,13,5,0,0,-22.84,-51.01,0.0,0,3.7,4,C,5-6,,PR,PRIM.DE MAIO,INDUZIDO POR RESERVATORIO,3.3,0.6,Mw(mb(I0))
198,1976,6,16,20,0,0,-22.84,-51.01,0.0,0,3.9,4,C,6,,PR,PRIM.DE MAIO,5 EVEN.-INDUZ.P.RESERVAT.,3.3,0.6,Mw(mb(I0))
199,1976,6,22,1,48,0,-22.84,-51.01,0.0,0,3.5,4,C,5,,PR,PRIM.DE MAIO,24 EV.-INDUZ.P.RESERVAT.,3.3,0.6,Mw(mb(I0))
200,1976,7,12,14,0,0,-15.25,-40.25,0.0,0,3.2,4,C,4-5,,BA,ITAPETINGA,,2.9,0.6,Mw(mb(I0))
201,1976,7,27,21,0,0,-4.83,-38.8,0.0,0,3.0,4,C,4,,CE,IBARETAMA,,2.9,0.6,Mw(mb(I0))
202,1976,7,29,18,0,0,-4.83,-38.8,0.0,0,3.5,4,C,5,,CE,IBARETAMA,OUTROS AS 17 E 18H,2.9,0.6,Mw(mb(I0))
203,1976,8,11,20,0,0,-14.84,-39.6,0.0,0,3.5,4,C,5,,BA,IBICARAI',,2.9,0.6,Mw(mb(I0))
204,1976,10,1,0,0,0,-14.84,-39.6,0.0,0,3.4,3,C,-,0.7,BA,IBICARAI',SEIS EVENTOS ENTRE 26-29,2.7,0.4,Mw(Af)
205,1976,10,8,20,1,12,-2.0,-59.8,0.0,50,4.0,1,B,5,20.0,AM,BALBINA,(UnB/ELETRONORTE),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
206,1977,2,25,13,40,0,-5.71,-35.75,0.0,10,3.6,3,B,6-7,1.4,RN,RIACHUELO,MAIS TRES EVENTOS,2.9,0.4,Mw(Af)
207,1977,3,12,7,0,0,-4.83,-38.8,0.0,0,3.9,4,C,6,,CE,IBARETAMA,,3.8,0.6,Mw(mb(I0))
208,1977,6,19,3,3,30,-23.3,-42.6,0.0,30,3.5,1,I,-,,RJ,PLAT. CONT.,(VELOSO&MENDIGUREN 1980A; IAG),3.2,0.3,Mw(mb)
209,1977,8,2,17,45,52,-0.08,-49.97,0.0,30,4.8,0,I,-,,PA,N.ILHA DE MARAJO,(ISC) RELOCAL.,4.5,0.3,Mw(mb)
210,1977,9,4,15,45,0,-20.73,-47.77,0.0,0,2.8,4,C,3-4,,SP,NUPORANGA,INDUZIDO,2.4,0.6,Mw(mb(I0))
211,1977,11,2,12,0,0,-23.42,-45.6,0.0,0,2.8,4,C,3-4,,SP,PARAIBUNA,INDUZIDO,2.4,0.6,Mw(mb(I0))
212,1977,11,4,0,0,0,-23.42,-45.6,0.0,0,3.1,5,C,4,,SP,PARAIBUNA,INDUZIDO POR RESERVATORIO,2.4,0.6,Mw(mb(I0))
213,1977,11,16,23,20,0,-23.42,-45.6,0.0,0,3.3,5,C,4,,SP,PARAIBUNA,VARIOS; INDUZIDOS (UnB: 15:45; M=3.2),2.4,0.6,Mw(mb(I0))
214,1977,11,20,14,46,35,-15.8,-43.5,0.0,30,3.7,5,I,-,,MG,JANAUBA,(VELOSO&MENDIGUREN 1980A),2.4,0.6,Mw(mb(I0))
215,1978,2,10,0,0,0,-6.28,-36.03,0.0,15,3.7,3,B,5,2.4,RN,SANTA CRUZ,DIA INCERTO; VARIOS EV.,3.0,0.4,Mw(Af)
216,1978,3,17,20,45,0,-20.73,-47.77,0.0,0,3.0,4,C,4,,SP,NUPORANGA,INDUZIDO POCO ARTESIANO,2.4,0.6,Mw(mb(I0))
217,1978,3,18,1,30,0,-20.73,-47.77,0.0,0,3.0,4,C,4,,SP,NUPORANGA,INDUZIDO POCO ARTESIANO,2.4,0.6,Mw(mb(I0))
218,1978,3,19,5,33,27,-24.96,-48.5,0.0,10,3.3,1,B,4,2.7,SP,RIO VERMELHO,,3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
219,1978,4,18,0,0,0,-10.89,-61.94,0.0,0,3.5,4,C,5,,RO,JI-PARANA,,2.4,0.6,Mw(mb(I0))
220,1978,10,5,9,38,44,-16.1,-51.27,0.0,50,2.8,1,I,-,,GO,IPORA',(UnB),2.5,0.3,Mw(mb)
221,1979,1,16,5,38,24,-24.0,-58.7,0.0,50,4.0,1,I,-,,PY,PARAGUAI,(IAG;UnB),3.7,0.3,Mw(mb)
222,1979,1,21,17,49,36,-21.02,-56.36,0.0,50,3.6,1,I,-,,MS,BONITO ?,(ASSUMPCAO ET AL.1980B),3.3,0.3,Mw(mb)
223,1979,3,27,12,54,45,-22.84,-51.01,0.0,5,3.7,1,A,5-6,1.3,PR,PRIM.DE MAIO,INDUZIDO POR RESERVATORIO,3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
224,1979,6,13,16,52,45,-24.69,-45.73,0.0,15,2.8,1,I,-,,SP,PLAT. CONT.,(IAG; UnB),2.5,0.3,Mw(mb)
225,1979,7,20,7,0,37,-24.0,-57.5,0.0,70,3.0,1,I,-,,PY,PARAGUAI,(IAG;UnB),2.7,0.3,Mw(mb)
226,1979,8,13,18,41,0,-25.2,-45.6,0.0,30,3.0,1,I,-,,SP,PLAT. CONT.,(ASSUMPCAO ET AL.1980B),2.7,0.3,Mw(mb)
227,1979,8,22,23,1,40,-15.26,-49.95,0.0,10,3.5,1,B,4,5.0,GO,RUBIATABA,(UnB) AREA IV MM,3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
228,1979,10,19,15,25,0,-23.42,-45.6,0.0,0,3.0,4,C,4,,SP,PARAIBUNA,INDUZ. P/ RESERV.  (UnB),3.3,0.6,Mw(mb(I0))
229,1979,12,8,5,5,50,-20.0,-55.8,0.0,50,3.8,1,I,-,,MS,AQUIDAUANA ?,(VELOSO&MEND.1980A; IAG),3.5,0.3,Mw(mb)
230,1980,3,6,9,46,18,-6.17,-71.16,18.0,30,4.8,0,I,-,,AM,W AMAZONAS,(ISC; H=67?),4.5,0.3,Mw(mb)
231,1980,4,23,16,11,30,-26.5,-40.0,0.0,100,3.5,1,I,-,,SC,OC.ATLANTICO,(IAG; UnB),3.2,0.3,Mw(mb)
232,1980,7,3,22,10,0,-20.07,-47.33,0.0,2,2.8,3,B,4,.05,MG,JAGUARA,(UnB/CEMIG)AREA=50KM2,1.9,0.4,Mw(Af)
233,1980,9,3,1,36,3,-3.3,-60.0,0.0,100,3.4,1,I,-,,AM,MANAUS,(VELOSO&MENDIGUREN 1980B),3.1,0.3,Mw(mb)
234,1980,10,18,21,41,0,-0.4,-49.8,0.0,50,3.1,1,I,-,,PA,MARAJO',(UnB),2.8,0.3,Mw(mb)
235,1980,10,24,21,49,2,-14.41,-49.39,0.0,30,3.1,1,I,-,,GO,PORANGATU?,(IAG; UnB) N. SENT.,2.8,0.3,Mw(mb)
236,1980,11,5,1,22,42,-5.8,-50.3,0.0,70,3.5,1,I,-,,PA,SUL DO PARA',(IAG;UnB),3.2,0.3,Mw(mb)
237,1980,11,12,21,23,5,-8.07,-50.24,0.0,20,4.7,2,C,5,,PA,REDENCAO,(IAG; ISC MB=4.8),4.4,0.3,Mw(mb)
238,1980,11,19,7,38,56,-5.2,-38.3,0.0,100,2.8,1,I,-,,CE,MORADA NOVA?,(IAG) PACAJUS?,2.5,0.3,Mw(mb)
239,1980,11,20,3,29,44,-4.3,-38.4,5.0,5,5.2,2,A,7,1000.,CE,PACAJUS,(ISC mb=5.2; IAG: pGT5 H.O.=AK135),5.0,0.33,0.7Mw(mb)+0.3Mw(Af)
240,1980,11,21,1,29,7,-26.25,-58.25,0.0,50,3.8,1,I,3,,AR,FORMOSA;ARG.,(IAG;UnB) SENT. FORMOSA,3.5,0.3,Mw(mb)
241,1980,11,29,1,5,0,-3.1,-43.3,0.0,100,3.1,1,I,-,,MA,URB.SANTOS ?,(IAG;UnB),2.8,0.3,Mw(mb)
242,1980,12,14,0,0,0,-16.6,-56.2,0.0,0,3.6,3,C,5,2.0,MT,SA.S.VICENTE,(IAG) DIA INCERTO,3.0,0.4,Mw(Af)
243,1981,1,2,4,14,55,-4.3,-38.4,0.0,30,3.6,1,C,-,,CE,PACAJUS,(IAG; UnB) NOTICIADO 15:20,3.3,0.3,Mw(mb)
244,1981,1,6,19,51,58,-5.0,-47.5,0.0,50,3.4,1,I,-,,MA,JOAO LISBOA?,(IAG; UnB),3.1,0.3,Mw(mb)
245,1981,1,9,5,44,20,-11.8,-47.6,0.0,100,2.8,1,I,-,,GO,NATIVIDADE,(IAG; UnB),2.5,0.3,Mw(mb)
246,1981,1,12,3,33,8,-4.3,-38.4,0.0,30,3.8,1,C,-,18.0,CE,PACAJUS,(IAG; UnB),3.5,0.33,0.7Mw(mb)+0.3Mw(Af)
247,1981,1,18,16,19,50,-20.71,-46.7,0.0,20,3.3,1,B,5,2.5,MG,PASSOS,(IAG; UnB),3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
248,1981,2,17,8,0,0,-4.5,-70.4,0.0,100,3.4,1,I,-,,AM,AM/PERU,(UnB),3.1,0.3,Mw(mb)
249,1981,3,9,20,27,40,-11.01,-57.64,0.0,50,3.8,1,I,-,,MT,PORT.GAUCHOS,(UnB),3.5,0.3,Mw(mb)
250,1981,3,24,22,10,3,-20.58,-48.34,0.0,15,2.8,1,I,-,,SP,BARRETOS,(IAG; UnB)N.SENTIDO;EXPL?,2.5,0.3,Mw(mb)
251,1981,4,1,20,1,44,-10.74,-62.2,0.0,30,3.2,1,C,5,,RO,OURO PRETO,(UnB/ELETRONORTE),2.9,0.3,Mw(mb)
252,1981,5,7,3,44,55,-22.6,-39.5,0.0,50,3.7,1,I,-,,RJ,PLAT. CONT.,(UnB),3.4,0.3,Mw(mb)
253,1981,9,11,10,24,45,-21.45,-46.09,0.0,15,3.1,1,I,-,,MG,ALFENAS,(UnB; IAG),2.8,0.3,Mw(mb)
254,1981,9,15,4,26,12,-1.6,-53.0,0.0,100,3.9,1,I,-,,PA,ALMEIRIM,(UnB),3.6,0.3,Mw(mb)
255,1981,10,13,8,5,14,-16.86,-54.55,0.0,50,3.2,1,C,5,,MT,RONDONOPOLIS,(IAG;UnB),2.9,0.3,Mw(mb)
256,1981,11,2,11,37,5,-8.61,-38.45,0.0,5,3.1,1,B,-,,PE,FLORESTA,(IAG),2.8,0.3,Mw(mb)
257,1981,11,2,14,57,13,-8.61,-38.45,0.0,5,3.1,1,B,4,0.3,PE,FLORESTA,(IAG),2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
258,1981,11,4,3,16,51,-8.59,-38.5,0.0,5,3.1,1,B,4,0.2,PE,FLORESTA,(IAG),2.6,0.33,0.7Mw(mb)+0.3Mw(Af)
259,1981,11,10,19,54,0,-15.6,-41.2,0.0,100,2.9,1,I,-,,BA,C. SALES,(IAG;UnB),2.6,0.3,Mw(mb)
260,1982,1,30,16,42,37,-4.0,-34.0,0.0,70,3.5,1,I,-,,RN,PLAT. CONT.,(UnB; IAG),3.2,0.3,Mw(mb)
261,1982,3,3,18,57,25,-16.5,-59.1,0.0,100,3.5,1,I,-,,MT,BOLIVIA/MT,(UnB),3.2,0.3,Mw(mb)
262,1982,3,10,6,15,44,-23.4,-42.1,0.0,30,2.8,1,I,-,,RJ,PLATAFORMA,(UnB;IAG),2.5,0.3,Mw(mb)
263,1982,3,10,7,57,34,-23.4,-42.1,0.0,30,3.0,1,I,-,,RJ,PLATAFORMA,(UnB;IAG),2.7,0.3,Mw(mb)
264,1982,3,12,17,14,43,-23.6,-41.63,0.0,30,3.5,1,I,-,,RJ,PLATAFORMA,(UnB;IAG),3.2,0.3,Mw(mb)
265,1982,3,29,7,47,11,-9.31,-38.23,0.0,5,3.6,1,B,4,0.2,BA,PAULO AFONSO,(IAG),3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
266,1982,4,8,5,58,52,-24.8,-58.1,12.0,30,4.9,2,I,6,230.,PY,PARAGUAI,(ISC;UnB;IAG;SJA) ASUNCION IV-V MM,4.6,0.33,0.7Mw(mb)+0.3Mw(Af)
267,1982,4,16,22,38,0,-22.2,-55.0,0.0,5,3.4,1,I,4,,MS,PICADINHA,(UnB),3.1,0.3,Mw(mb)
268,1982,5,2,8,30,4,-21.64,-46.65,0.0,10,3.1,1,A,5,10.0,MG,P. DE CALDAS,(IAG; UnB),3.0,0.33,0.7Mw(mb)+0.3Mw(Af)
269,1982,5,17,3,57,15,-12.7,-48.2,0.0,40,3.0,1,I,-,,GO,PARANAN,(UnB; IAG),2.7,0.3,Mw(mb)
270,1982,7,23,11,6,45,-14.26,-45.72,0.0,50,2.9,1,I,-,,BA,SW BAHIA/GO,(UnB; IAG),2.6,0.3,Mw(mb)
271,1982,8,26,1,7,56,-19.6,-47.1,0.0,50,3.2,1,I,-,,MG,ARAXA',(UnB; IAG),2.9,0.3,Mw(mb)
272,1982,9,5,6,30,2,-16.51,-41.46,0.0,30,3.2,1,I,-,,MG,ITAOBIM,(UnB; IAG),2.9,0.3,Mw(mb)
273,1982,9,17,12,28,41,-25.84,-45.42,0.0,40,3.8,1,I,-,,SP,PLATAFORMA,(UnB; IAG),3.5,0.3,Mw(mb)
274,1982,9,21,1,42,33,-18.8,-44.8,0.0,10,3.1,1,I,-,,MG,FELIXLANDIA,(UnB),2.8,0.3,Mw(mb)
275,1982,10,10,19,28,0,-12.3,-45.5,0.0,70,2.8,1,I,-,,BA,W. BARREIRAS,(IAG),2.5,0.3,Mw(mb)
276,1982,11,24,23,3,15,-20.76,-45.8,0.0,20,3.2,1,I,-,,MG,FURNAS,(UnB),2.9,0.3,Mw(mb)
277,1983,1,2,6,40,0,-24.3,-47.8,0.0,0,2.9,1,I,-,,SP,JUQUIA',(IAG),2.6,0.3,Mw(mb)
278,1983,2,8,18,38,15,-26.28,-60.18,0.0,30,4.8,2,I,-,,PY,PARAGUAI,(USGS: MB=5.0),4.5,0.3,Mw(mb)
279,1983,2,21,5,38,46,-10.7,-62.2,0.0,0,3.2,1,I,5,,RO,OURO PRETO,(UnB),2.9,0.3,Mw(mb)
280,1983,3,7,5,49,32,-16.47,-41.7,0.0,0,2.9,1,I,-,,MG,TUPARECE,(IAG; UnB),2.6,0.3,Mw(mb)
281,1983,3,7,11,51,18,-16.47,-41.7,0.0,20,3.1,1,I,4,,MG,TUPARECE,(IAG; UnB),2.8,0.3,Mw(mb)
282,1983,5,5,21,40,0,-8.67,-35.58,0.0,0,3.0,4,C,4,,PE,PALMARES,(IAG),3.3,0.6,Mw(mb(I0))
283,1983,5,7,18,30,0,-8.67,-35.58,0.0,0,3.5,4,C,5,,PE,PALMARES,(IAG),3.3,0.6,Mw(mb(I0))
284,1983,6,1,14,57,23,-14.32,-44.63,0.0,50,3.2,1,I,-,,BA,COCOS,(UnB; IAG),2.9,0.3,Mw(mb)
285,1983,6,7,10,52,6,-12.8,-46.4,0.0,100,3.0,1,I,-,,GO,MANHA,(UnB; IAG),2.7,0.3,Mw(mb)
286,1983,8,5,6,21,44,-3.58,-62.14,23.0,15,5.5,2,A,7,500.,AM,CODAJAS,(UnB; IAG; RBGf-1984; H.O.=AK135),5.1,0.33,0.7Mw(mb)+0.3Mw(Af)
287,1983,8,5,8,24,18,-3.59,-62.17,0.0,0,3.5,1,I,-,,AM,CODAJAS,(UnB) REPLICA,3.2,0.3,Mw(mb)
288,1983,9,2,16,25,20,-14.9,-50.8,0.0,30,2.8,1,I,-,,GO,ARUANAN,(UnB),2.5,0.3,Mw(mb)
289,1983,10,1,18,44,16,-11.4,-63.7,0.0,50,3.6,1,I,-,,RO,OURO PRETO,(UnB),3.3,0.3,Mw(mb)
290,1983,11,18,8,41,2,-5.1,-38.7,0.0,0,2.8,1,I,-,,CE,PACAJUS ??,(IAG; UFRN),2.5,0.3,Mw(mb)
291,1983,11,23,15,51,49,4.2,-52.0,0.0,100,4.0,1,I,-,,-,GUIANA FRAN.,(UnB),3.7,0.3,Mw(mb)
292,1983,12,4,7,17,57,-3.17,-50.57,0.0,20,3.7,1,I,-,,PA,130KM NW TUC,(UnB),3.4,0.3,Mw(mb)
293,1983,12,7,18,4,14,-17.2,-45.0,0.0,40,2.9,1,I,-,,MG,BURITIZEIRO,(UnB),2.6,0.3,Mw(mb)
294,1983,12,16,23,53,35,-8.33,-35.8,0.0,15,3.5,1,I,-,,PE,CARUARU,(UnB; IAG; UFRN),3.2,0.3,Mw(mb)
295,1984,1,5,10,30,10,-1.1,-50.32,0.0,20,3.0,1,I,-,,PA,SAO MIGUEL,(UnB),2.7,0.3,Mw(mb)
296,1984,1,5,17,23,30,-17.4,-46.4,0.0,80,2.8,1,I,-,,MG,PARACATU ?,(UnB),2.5,0.3,Mw(mb)
297,1984,2,20,18,18,28,-1.16,-50.49,0.0,20,3.0,1,I,-,,PA,SAO MIGUEL,(UnB),2.7,0.3,Mw(mb)
298,1984,2,22,8,0,26,-23.47,-40.7,0.0,50,3.7,1,I,-,,RJ,PLAT. CONT.,(UnB; IAG) RBGF +20KM E,3.4,0.3,Mw(mb)
299,1984,3,7,3,18,50,-24.44,-58.19,0.0,20,3.3,1,I,-,,PY,PARAGUAI,(UnB),3.0,0.3,Mw(mb)
300,1984,3,17,23,8,44,-16.5,-52.5,0.0,100,3.2,1,I,-,,MT,B. DO GARCA,(UnB; IAG),2.9,0.3,Mw(mb)
301,1984,4,8,20,56,0,-20.8,-46.76,0.0,10,3.8,1,B,4,6.2,MG,PASSOS,(UnB;IAG) CASSIA;PRATAP.;FURNAS;GUAXUPE',3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
302,1984,5,25,8,36,34,-24.92,-43.35,0.0,50,3.5,1,I,-,,RJ,PLAT. CONT.,(UnB;IAG),3.2,0.3,Mw(mb)
303,1984,6,26,20,36,17,-14.43,-49.93,0.0,30,3.1,1,I,-,,GO,S. TERESINHA,(UnB; IAG),2.8,0.3,Mw(mb)
304,1984,8,1,0,0,0,-19.7,-43.9,0.0,0,3.0,4,C,4,,MG,VESPASIANO,(EST.MINAS 10.10.84) Varios,3.3,0.6,Mw(mb(I0))
305,1984,8,9,19,37,22,-21.28,-54.53,0.0,20,3.0,1,I,-,,MS,SIDROLANDIA,(UnB),2.7,0.3,Mw(mb)
306,1984,9,17,8,9,0,-10.7,-62.1,0.0,0,3.4,1,I,-,,RO,OURO PRETO,(UnB) SENTIDO ??,3.1,0.3,Mw(mb)
307,1984,10,9,20,20,57,-20.98,-43.91,0.0,20,3.0,1,I,-,,MG,CARANDAI',(UnB; IAG),2.7,0.3,Mw(mb)
308,1984,10,20,13,18,0,-16.47,-41.7,0.0,0,3.0,1,I,-,,MG,TUPARECE,(IAG),2.7,0.3,Mw(mb)
309,1984,11,8,12,5,35,-8.18,-35.92,0.0,5,3.8,1,A,5-6,2.5,PE,CARUARU,(UFRN; IAG; UnB),3.3,0.33,0.7Mw(mb)+0.3Mw(Af)
310,1984,11,21,20,15,23,-6.9,-50.7,0.0,20,3.7,1,I,-,,PA,GRADAUS,(UnB),3.4,0.3,Mw(mb)
311,1984,12,9,3,22,16,-16.62,-44.13,0.0,15,3.2,1,I,-,,MG,CORAC. JESUS,(UnB),2.9,0.3,Mw(mb)
312,1984,12,12,21,18,47,-12.93,-48.84,0.0,20,3.3,1,I,-,,GO,N. PORANGATU,(UnB; IAG),3.0,0.3,Mw(mb)
313,1985,4,12,14,34,57,-23.94,-60.55,21.0,30,5.3,0,I,4,,PY,PARAGUAI,(USGS; SJA) SENTIDO ASUNCION,5.0,0.3,Mw(mb)
314,1985,6,8,4,15,38,-17.3,-44.4,0.0,60,2.8,1,I,-,,MG,PIRAPORA,(UnB),2.5,0.3,Mw(mb)
315,1985,7,20,1,5,34,-13.09,-48.03,0.0,20,3.6,1,I,5,15.,GO,PALMEIROPOL.,(UnB; IAG) AREA APROX.,3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
316,1985,7,20,21,21,19,-13.08,-48.06,0.0,20,3.5,1,I,5,15.,GO,PALMEIROPOL.,(UnB; IAG) AREA APROX.,3.3,0.33,0.7Mw(mb)+0.3Mw(Af)
317,1985,12,17,12,26,0,-23.17,-46.06,0.0,5,3.0,1,A,5-6,.54,SP,IGARATA',(IPT; IAG; UnB),2.6,0.33,0.7Mw(mb)+0.3Mw(Af)
318,1986,1,14,20,14,26,-15.08,-50.32,0.0,20,3.7,1,I,4,14.,GO,ARAGUAPAZ,(UnB; IAG),3.4,0.33,0.7Mw(mb)+0.3Mw(Af)
319,1986,1,22,9,43,13,-3.5,-31.0,0.0,100,3.5,1,I,-,,RN,F.DE NORONHA,(IAG; UnB; UFRN),3.2,0.3,Mw(mb)
320,1986,2,21,21,41,16,-12.91,-48.42,0.0,20,3.1,1,I,-,,GO,PALMEIROPOL.,(UnB; IAG),2.8,0.3,Mw(mb)
321,1986,6,12,1,43,49,-13.9,-40.4,0.0,50,3.0,1,I,-,,BA,JEQUIE',(IAG;UnB),2.7,0.3,Mw(mb)
322,1986,6,14,6,25,30,-24.42,-60.54,0.0,100,3.5,1,I,-,,PY,PARAGUAI,(UnB),3.2,0.3,Mw(mb)
323,1986,6,14,21,26,15,-6.86,-38.59,0.0,10,3.2,1,B,4,0.66,PB,CAJAZEIRAS,(UnB),2.8,0.33,0.7Mw(mb)+0.3Mw(Af)
324,1986,8,1,19,8,19,-19.85,-42.28,0.0,50,3.3,1,I,-,,MG,CARATINGA,(UnB;IAG),3.0,0.3,Mw(mb)
325,1986,8,5,23,13,30,-5.53,-35.75,0.0,10,3.3,1,A,5-6,,RN,Joao Camara,(UFRN;IAG) CAI+ITR,3.0,0.3,Mw(mb)
326,1986,8,5,23,58,22,-5.53,-35.75,0.0,10,3.0,1,I,-,,RN,Joao Camara,(IAG),2.7,0.3,Mw(mb)
