"YEAR","MO","DD","HH","MI","SS","LATITUDE","LONG.","DEPTH","ERR","MAG","MT","Q","Io","Area","M_TYPE","MW_SCOR","MW_BRProxy","s_MW_BRProxy","ST","Locality","(Reference) Comments"
1724,1,4,10,30,,-13,-38.5,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"BA","SALVADOR",
1744,9,24,15,,,-15.3,-58,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"MT","CUIABA","EFEITO DE SISMO ANDINO ?"
1767,8,1,23,,,-20.31,-40.33,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"ES","VITORIA","EPI.NO ALTO VIT-TRINDADE?"
1789,5,9,,,,-25.01,-47.94,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"SP","CANANEIA","(SANTOS 1850)"
1807,8,8,11,,,-5.7,-37.7,0,100,4.8,3,"B","6",230,"M(Af)",5.1,4.9,0.4,"RN","Assu","(Veloso 2012) Date corrected"
1811,,0,23,,,-30.04,-51.3,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"RS","PORTO ALEGRE","EPIC. DUVIDOSO"
1811,10,28,22,30,,-8.08,-34.87,0,50,3.8,3,"C","5",0.6,"M(Af)",4.3,2.8,0.4,"PE","RECIFE","AREA IV APROX."
1824,,0,,,,-21.98,-44.88,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","CAXAMBU",
1826,,0,,,,-11.71,-47.77,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"GO","NATIVIDADE",
1832,,0,,,,-20.82,-45.72,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","Guapeh","(Passos Maia: Guape; UnB/Furnas)"
1834,,0,,,,-11.71,-47.77,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"GO","NATIVIDADE",
1839,7,16,2,,,-21.84,-45.39,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","CAMPANHA",
1840,,0,,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO","VARIOS EVENTOS"
1848,8,9,18,35,0,-36.3,-54.8,0,100,5,3,"B","5-6",170,"M(Af)",5.3,4.8,0.4,"UR","Uruguay","(Benavidez 1998)"
1854,1,10,10,,,-5.2,-35.46,0,50,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"RN","TOUROS",
1855,7,25,9,,,-19.95,-43.48,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","S.Joao M.GRANDE","ATUAL B. DE COCAIS"
1861,7,31,4,,,-22.6,-45.2,0,50,4.4,3,"B","5",52,"M(Af)",4.8,4.4,0.4,"SP","LORENA",
1863,4,9,2,45,,-21.93,-45.25,0,20,3.6,3,"B","4",1.5,"M(Af)",4.1,3.1,0.4,"MG","CAMPANHA",
1864,11,23,14,30,,-2.53,-44.3,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MA","SAO LUIS",
1871,4,5,4,30,,-3.4,-44.35,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"MA","ITAPICURU-M.",
1874,10,30,12,30,,-23.5,-47.5,0,10,3.6,3,"B","5",1.7,"M(Af)",4.1,3.2,0.4,"SP","SOROCABA",
1876,6,27,21,30,,-16.57,-57.82,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MT","CAMBARA",
1879,3,1,,,,-15.6,-56.1,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MT","CUIABA",
1879,7,24,20,25,,-6,-35.5,0,50,4.3,3,"B","5",30,"M(Af)",4.7,4.2,0.4,"RN","NATAL","Sentido forte em Areia; PB"
1882,10,21,,,,-21.79,-46.58,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","Pocos de CALDAS",
1883,2,21,,,,-21.86,-42.67,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"MG","A. PARAIBA",
1886,5,9,18,15,,-22.66,-43.69,0,20,4.3,3,"A","5",23,"M(Af)",4.7,4.1,0.4,"RJ","S.PEDRO-S.P.","AREA IV = 4700 KM2"
1887,8,27,11,20,,-25.52,-48.51,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"PR","PARANAGUA'",
1888,5,0,7,30,,-4.19,-38.7,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"CE","ACARAPE",
1888,6,5,0,20,0,-34.5,-58,0,80,5,3,"A","5",245,"M(Af)",5.3,4.9,0.4,"AR","B.Aires;Colonia(UR)","(Benavidez 1998)"
1898,2,25,4,,,-26.93,-49.06,0,0,3.9,3,"C","-",5.4,"M(Af)",4.3,3.6,0.4,"SC","BLUMENAU",
1899,5,0,,,,-18.6,-46.55,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","PATOS","(WILLIAMS 1922) 04.1899?"
1899,12,0,,,,-13.03,-39.6,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"BA","AMARGOSA",
1901,4,4,16,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO","varios eventos"
1901,4,5,8,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO",
1901,6,2,2,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO",
1901,9,4,21,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO",
1903,2,10,,,,-4.38,-38.97,0,30,3.9,3,"C","-",5.5,"M(Af)",4.3,3.6,0.4,"CE","BATURITE'",
1903,2,12,,,,-4.38,-38.97,0,30,3.9,3,"C","-",5.5,"M(Af)",4.3,3.6,0.4,"CE","BATURITE'",
1903,2,14,,,,-4.38,-38.97,0,30,4.1,3,"C","6",12,"M(Af)",4.5,3.9,0.4,"CE","BATURITE'",
1903,2,15,,,,-4.38,-38.97,0,30,4.1,3,"C","6",12,"M(Af)",4.5,3.9,0.4,"CE","BATURITE'",
1903,2,16,,,,-4.38,-38.97,0,30,4.1,3,"C","6",12,"M(Af)",4.5,3.9,0.4,"CE","BATURITE'",
1905,,0,15,30,,-11.2,-42.3,0,100,4.7,3,"B","4",140,"M(Af)",5.0,4.7,0.4,"BA","XIQUE-XIQUE",
1905,7,18,22,30,,-10.2,-40.4,0,100,4.8,3,"B","5",180,"M(Af)",5.1,4.8,0.4,"BA","S. DO BONFIM","ANO INCERTO; 1904 ?"
1906,10,25,2,52,,-19,-57.64,0,0,4.2,3,"C","-",20,"M(Af)",4.6,4.0,0.4,"MS","CORUMBA'","REGISTRADO POR RDJ"
1906,12,4,11,,,-20.95,-43.8,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","CARANDAI'",
1909,12,23,,,,-2.41,-44.42,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MA","ALCANTARA",
1911,3,15,23,55,,-12.89,-38.69,0,20,3.3,3,"C","-",0.4,"M(Af)",3.8,2.7,0.4,"BA","ITAPARICA",
1911,3,22,18,,,-12.92,-38.67,0,20,4.4,4,"C","7",,"M(Io)",4.8,4.4,0.6,"BA","ITAPARICA","AREA MIN.=700KM2"
1912,4,19,8,,,-13.2,-38.89,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"BA","BR.JEQUIRICA",
1915,2,2,,,,-24.18,-46.79,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"SP","ITANHAEM",
1915,11,6,18,30,,-12.67,-38.63,0,20,4,3,"B","6",1.7,"M(Af)",4.4,3.2,0.4,"BA","I.DAS FONTES","AREA IV MM"
1917,5,5,7,50,,-21.6,-41.5,0,50,4.5,3,"B","5",70,"M(Af)",4.9,4.5,0.4,"RJ","CAMPOS",
1917,11,7,23,25,,-12.48,-38.66,0,10,4.3,3,"B","6-7",28,"M(Af)",4.7,4.2,0.4,"BA","RIO FUNDO",
1917,11,8,1,,,-12.45,-38.62,0,0,3.7,3,"C","4",2.3,"M(Af)",4.2,3.3,0.4,"BA","RIO FUNDO",
1918,,0,,,,-23.53,-46.62,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"SP","SAO PAULO",
1918,1,12,11,,,-12.45,-38.62,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"BA","RIO FUNDO","DOIS EVENTOS"
1919,6,1,21,30,,-18,-56,0,100,4.9,3,"C","5",280,"M(Af)",5.2,5.0,0.4,"MS","CORUMBA'","SENT. CUIABA' e STA.LUZIA ATUAL LUZIANIA?"
1919,6,5,4,20,,-21.03,-44.75,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","BOM SUCESSO","OUTROS EVENTOS"
1919,9,0,,,,-17.3,-46.85,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"MG","PARACATU","(WILLIAMS 1922)"
1919,11,9,14,,,-12.75,-38.68,0,20,3.8,3,"C","4",3.7,"M(Af)",4.3,3.5,0.4,"BA","ACUPE",
1919,11,10,,,,-12.59,-38.62,0,20,3.6,3,"C","4",1.7,"M(Af)",4.1,3.2,0.4,"BA","SANTO AMARO",
1919,11,13,,,,-12.55,-38.7,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"BA","SANTO AMARO","DOIS EVENTOS"
1919,11,16,9,55,,-12.67,-38.68,0,20,3.5,3,"C","5",1.2,"M(Af)",4.0,3.1,0.4,"BA","S.B.DASLAJES",
1919,11,23,4,20,,-12.65,-38.62,0,10,4.2,3,"B","7",3,"M(Af)",4.6,3.4,0.4,"BA","M.RECONCAVO","AREA IV MM"
1919,11,24,6,,,-3.87,-38.92,0,50,4.5,3,"B","4",70,"M(Af)",4.9,4.5,0.4,"CE","MARANGUAPE",
1920,1,31,11,10,,-21.03,-44.75,0,10,4,3,"B","6",9.5,"M(Af)",4.4,3.8,0.4,"MG","BOM SUCESSO",
1920,2,1,4,35,,-21.03,-44.75,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","BOM SUCESSO","VARIOS EVENTOS"
1920,2,9,16,20,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO",
1920,3,11,22,15,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO",
1922,1,27,6,50,40,-22.17,-47.04,0,40,5.1,3,"A","6",250,"M(Af)",5.4,4.9,0.4,"SP","MOGI GUACU","(Assumpcao et al.1979)"
1924,,0,,,,-8.28,-35.96,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"PE","CARUARU",
1927,,0,3,,,-6.04,-38.46,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"CE","PEREIRO",
1928,4,15,21,59,,-4.56,-37.76,0,0,4,3,"C","6",10,"M(Af)",4.4,3.8,0.4,"CE","ARACATI","AREA APROXIMADA"
1928,6,8,21,30,,-5.42,-39.36,0,0,3.6,3,"C","3-4",2,"M(Af)",4.1,3.2,0.4,"CE","LACERDA",
1929,11,10,1,4,0,-27.5,-58.9,0,30,2.5,4,"C","3",,"M(Io)",3.2,2.5,0.6,"AR","R.Parana Corrientes","(LPA;SJA/INPRES)"
1935,1,2,1,12,18,-29.6,-60,0,30,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"AR","Vera; Santa Fe","(LPA;SJA/INPRES)"
1935,10,21,10,40,,-21.03,-44.75,0,10,3.7,3,"C","5-6",2.8,"M(Af)",4.2,3.4,0.4,"MG","BOM SUCESSO","OUTROS EVENTOS"
1939,6,28,11,32,22,-29,-48,0,90,5.5,3,"A","6",1100,"M(Af)",5.7,5.4,0.4,"SC","TUBARAO","(ISS; IAG)  I.E.I.= VII"
1941,4,11,12,5,,-16.1,-54.5,0,70,4.4,3,"B","5",51,"M(Af)",4.8,4.4,0.4,"MT","RONDONOPOLIS CUIABA","POXOREU"
1942,,0,18,30,,-3.1,-40.84,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"CE","GRANJA",
1946,2,19,4,,,-21.31,-46.71,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","GUAXUPE'",
1946,7,18,7,15,,-25.1,-47.7,0,30,4.6,3,"A","4-5",60,"M(Af)",4.9,4.4,0.4,"SP","CANANEIA","AREA IV = 25000 KM2"
1946,10,7,20,25,,-1.44,-48.48,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"PA","BELEM",
1947,,0,,,,-21.79,-46.58,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","POCOS DE CALDAS","PROV. 19.02.1946"
1947,12,15,19,5,,-21.7,-57.9,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MS","Pto. MURTINHO","SENT. P.QUEBRACHO; JARDIM"
1948,1,21,16,47,40,-30.5,-58,0,30,5.5,4,"B","6",,"M(Io)",5.7,5.5,0.6,"AR","M.Caseros;Corrientes","(SJA/INPRES)"
1948,5,0,,,,-15.07,-49.97,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"GO","EMBIARA","(UnB)"
1949,9,17,,,,3.83,-51.84,0,100,5,3,"C","4",450,"M(Af)",5.3,5.1,0.4,"AP","OIAPOQUE",
1949,12,31,,,,-5.69,-36.24,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"RN","LAJES",
1950,2,27,11,58,,-21.82,-46.71,0,20,3.9,3,"C","5",6,"M(Af)",4.3,3.6,0.4,"MG","P. DE CALDAS",
1950,4,7,15,,,-5.9,-35.61,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"RN","JOAO CAMARA",
1951,4,24,,,,3.83,-51.84,0,0,4.7,3,"C","4",150,"M(Af)",5.0,4.7,0.4,"AP","OIAPOQUE",
1954,,0,,,,-9.93,-36.49,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"AL","JUNQUEIRO",
1955,1,31,5,3,6,-12.52,-57.35,0,30,6.2,0,"I","-",900,"mb",6.3,5.9,0.3,"MT","SA. TOMBADOR","(USGS) M_PAS6.8;M_BCI6.6; relocal.Engdahl"
1955,3,1,1,46,18,-19.84,-36.75,0,30,6.1,0,"A","-",,"mb",6.2,6.1,0.3,"ES","FTE.VITORIA","(ISC) VITORIA V MM; M(ROTHE)=6; MB(PAS)=6"
1957,4,16,18,17,12,-9.5,-67,0,100,4.9,5,"I","-",,"Ind",5.2,4.9,0.6,"AM","SUL AMAZONAS","(USGS)"
1959,2,5,13,50,,-11.54,-57.41,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MT","Porto dos Gauchos","sentido 2 vezes (UnB)"
1959,5,25,23,8,,-21.26,-48.69,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"SP","FERN.PRESTES","INDUZIDO (ANEXO 4)"
1959,5,27,17,5,,-21.26,-48.69,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"SP","FERN.PRESTES","INDUZIDO POCO ARTESIANO?"
1959,5,29,6,55,,-21.26,-48.69,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"SP","FERN.PRESTES","INDUZIDO POCO ARTESIANO?"
1961,10,3,20,35,54,0.4,-63,0,100,4,0,"I","-",,"mb",4.4,3.7,0.3,"AM","N AMAZONAS","(CARACAS; TRINID.-TOBAGO)"
1962,1,17,2,27,44,-22.93,-43.23,0,3,3.2,3,"B","5",0.3,"M(Af)",3.8,2.6,0.4,"RJ","Rio de JANEIRO","reg. RDJ"
1963,8,27,,,,-5.69,-36.24,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"RN","LAJES",
1963,9,3,,,,-5.69,-36.24,0,0,3.7,3,"C","-",3,"M(Af)",4.2,3.4,0.4,"RN","LAJES","SENT.J.CAMARA;AREA APROX."
1963,10,2,,,,-5.69,-36.24,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"RN","LAJES",
1963,12,14,0,5,41,-2.36,-61.02,45,30,5.1,0,"C","-",,"mb",5.4,5.0,0.3,"AM","MANAUS","(ISC) EHB RELOCAL."
1964,1,19,,,,-8.28,-35.96,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"PE","CARUARU","TRES EVENTOS;10-12 HORAS?"
1964,2,13,11,21,46,-18.06,-56.69,5,30,5.4,0,"I","-",240,"mb",5.6,5.2,0.3,"MS","NW DE MS","RELOCAL.; CAMPO GRANDE = V MM"
1964,3,21,,,,-20.51,-45.59,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","PONTEVILA","DOIS EVENTOS"
1964,6,16,,,,-8.28,-35.96,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"PE","CARUARU","VARIOS EVENTOS"
1964,6,19,3,56,20,2.64,-59.62,0,50,4.5,0,"I","-",,"mb",4.9,4.3,0.3,"RR","RR/GUIANA","(ISC) RELOCAL."
1965,8,12,,,,-19.94,-44.72,0,20,3.3,3,"C","-",0.5,"M(Af)",3.8,2.8,0.4,"MG","IGARATINGA","DIA INCERTO"
1965,8,15,19,36,56,2.68,-60.12,0,30,4.9,0,"I","-",,"mb",5.2,4.7,0.3,"RR","SE DE RR","(ISC); RELOCAL.; SEM PP"
1966,11,15,8,,,-20.8,-46,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","REG. FURNAS","VARIOS;INDUZ.P.RESERVAT.?"
1967,1,21,18,59,48,-8.2,-35.98,0,10,3.8,1,"B","5",7,"MR",4.3,3.6,0.3,"PE","CARUARU","(UFRN)"
1967,3,23,21,12,15,-23.3,-45,0,20,4.1,0,"A","6-7",30,"mb",4.5,3.9,0.3,"SP","CUNHA","registrado em AREQUIPA"
1967,8,5,9,56,10,-22.85,-43.12,0,10,3.6,1,"B","5-6",2.7,"MR",4.1,3.3,0.3,"RJ","SAO GONCALO",
1967,8,9,7,14,8,-8.45,-73.83,42,30,5.1,0,"I","-",,"mb",5.4,5.0,0.3,"AC","PERU-BRASIL",
1967,8,18,21,24,24,-21.3,-60.6,0,100,4.7,0,"I","-",,"mb",5.0,4.5,0.3,"PY","PARAGUAI","(ISC)"
1968,1,13,1,55,51,-6.09,-38.44,0,10,3.9,2,"C","6",25,"M(bR)",4.3,3.8,0.3,"CE","PEREIRO","(UFRN)"
1968,1,13,1,58,,-6.04,-38.46,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"CE","PEREIRO",
1968,1,18,10,40,,-6.09,-38.44,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"RN","SALAO","DIA INCERTO"
1968,2,4,,,,-6.11,-38.44,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"RN","JUNCO",
1968,2,15,13,20,48,-6.09,-38.44,0,10,4.1,2,"B","6",11,"M(bR)",4.5,3.8,0.3,"CE","PEREIRO","(UFRN)"
1968,2,23,14,23,2,-6.09,-38.44,0,5,4.6,2,"A","7",84,"M(bR)",4.9,4.4,0.3,"CE","PEREIRO","(UFRN;IAG;ISC)"
1968,2,23,14,37,1,-6.09,-38.44,0,10,3,1,"C","-",,"MR",3.6,2.6,0.3,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
1968,2,23,15,21,16,-6.09,-38.44,0,10,3,1,"C","-",,"MR",3.6,2.6,0.3,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
1968,2,23,15,33,3,-6.09,-38.44,0,10,3.8,2,"C","-",,"M(bR)",4.3,3.5,0.3,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
1968,3,0,,,,-6.92,-39.58,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"CE","FARIAS BRITO",
1968,3,18,,,,-6.04,-38.46,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"CE","PEREIRO",
1968,8,27,5,17,36,-8.9,-72.89,26,30,4.9,0,"I","-",,"mb",5.2,4.7,0.3,"AC","W DO ACRE","(ISC H=50 ?)"
1968,10,15,19,54,20,-26.87,-60.88,20,30,5,4,"I","6",,"M(Io)",5.3,5.0,0.6,"AR","Campo Largo; Chaco","(SJA;ZON/INPRES)"
1969,,0,16,,,-16.45,-54.64,0,0,2.3,4,"C","2-3",,"M(Io)",3.0,2.3,0.6,"MT","RONDONOPOLIS","ANO INCERTO; 1974?"
1969,3,5,16,28,55,-23.1,-60.6,0,100,4.1,0,"I","-",,"mb",4.5,3.8,0.3,"PY","PARAGUAI","(ISC)"
1970,1,12,4,43,8,-1.32,-48.48,0,30,4.5,2,"B","6-7",10,"M(bR)",4.9,4.1,0.3,"PA","BELEM","(ISC;IAG;UnB) MAIS 4 EV."
1970,1,29,,,,-7.96,-36.21,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"PE","S.C.CAPIBARI","DOIS EVENTOS"
1970,1,30,,,,-7.96,-36.21,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"PE","S.C.CAPIBARI",
1970,3,29,8,27,48,-8.29,-73.38,25,50,4.3,0,"I","-",,"mb",4.7,4.1,0.3,"AC","SA. DIVISOR","(ISC)"
1970,8,14,4,59,1,-13.5,-49.1,0,50,3,5,"I","-",,"Ind",3.6,3.0,0.6,"GO","PORANGATU","(BERROCAL 1974) N. SENT."
1970,11,0,,,,-6.93,-35.53,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"PB","ALAGOINHA",
1970,11,20,23,55,21,-13.5,-49.1,0,50,3.6,5,"I","-",,"Ind",4.1,3.6,0.6,"GO","PORANGATU","(BERROCAL 1974) N. SENT."
1970,12,0,,,,-20.28,-44.75,0,3,3.4,3,"B","4",0.7,"M(Af)",3.9,2.9,0.4,"MG","Carmo do CAJURU","INDUZIDO"
1971,2,11,,,,-25.1,-48.9,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"PR","CAPIVARI-CACHOEIRA","INDUZIDO POR RESERVATORIO"
1971,3,0,,,,-25.25,-48.8,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"PR","CAPIVARI-CACHOEIRA","VARIOS; INDUZ.P.RESERVAT."
1971,5,5,15,32,2,-17,-53.8,0,100,3.6,1,"I","-",,"MR",4.1,3.3,0.3,"MT","ALTO GARCAS","(UnB; mag=3.35+0.25) SENT. RONDONOPOLIS?"
1971,5,21,16,,,-25.1,-48.9,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"PR","CAPIV-CACHOE","INDUZIDO POR RESERVATORIO"
1971,7,16,19,51,4,-13.5,-49.1,0,50,3.5,5,"I","-",,"Ind",4.0,3.5,0.6,"GO","PORANGATU","(BERROCAL 1974) N. SENT."
1971,8,5,2,30,,-8.04,-34.9,0,0,3,5,"C","5",,"Ind",3.6,3.0,0.6,"PE","RECIFE","5 EV. (BERROCAL 1974)"
1971,8,8,13,32,39,-20.28,-44.75,0,0,3.5,5,"C","5-6",,"Ind",4.0,3.5,0.6,"MG","C.DO CAJURU","INDUZIDO POR RESERVATORIO"
1972,1,23,3,3,51,-20.28,-44.75,0,5,3.7,1,"B","6",3.2,"MR",4.2,3.4,0.3,"MG","CARMO DO CAJURU","INDUZIDO POR RESERVATORIO"
1972,1,29,3,34,46,-16,-51,0,100,3,5,"I","-",,"Ind",3.6,3.0,0.6,"GO","SW DE GOIAS?","(BERROCAL 1974)"
1972,3,4,21,45,,-9.93,-36.49,0,0,3.4,3,"C","5",0.7,"M(Af)",3.9,2.9,0.4,"AL","JUNQUEIRO",
1972,6,4,4,30,,-6.21,-38.5,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"RN","SAO MIGUEL",
1972,8,0,,,,-16.47,-41.7,0,0,3.9,4,"C","6",,"M(Io)",4.3,3.9,0.6,"MG","TUPARECE","VARIOS EVENTOS"
1972,10,24,15,36,36,-21.72,-40.53,8,30,4.8,2,"A","-",210,"M(bR)",5.1,4.7,0.3,"RJ","CAMPOS","(ISC;IAG) RELOCAL.; Campos V MM"
1973,4,26,14,15,2,-5.28,-35.82,0,0,3.6,1,"C","-",17,"MR",4.1,3.5,0.3,"RN","PARAZINHO","(UFRN)"
1973,4,26,18,54,57,-5.28,-35.82,0,0,3.6,1,"C","-",17,"MR",4.1,3.5,0.3,"RN","PARAZINHO","(UFRN)"
1973,4,27,8,20,13,-5.28,-35.82,0,0,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,5,2,3,41,14,-5.28,-35.82,0,0,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,5,2,3,47,58,-5.28,-35.82,0,0,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,5,2,17,34,34,-5.28,-35.82,0,0,2.3,1,"C","4",,"MR",3.0,1.8,0.3,"RN","PARAZINHO","(UFRN)HORA NOTICIADA 12:30"
1973,6,17,4,22,29,-5.28,-35.82,0,0,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,6,26,5,25,2,-5.28,-35.82,0,0,3.1,1,"I","-",,"MR",3.7,2.7,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,7,8,22,38,30,-13.41,-49.05,0,50,3.3,1,"I","-",,"MR",3.8,2.9,0.3,"GO","PORANGATU","(UnB) NAO SENTIDO"
1973,7,20,13,35,25,-5.28,-35.82,0,0,3.9,1,"I","-",,"MR",4.3,3.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,7,22,21,22,50,-5.28,-35.82,0,10,4.3,2,"B","6-7",25,"M(bR)",4.7,4.1,0.3,"RN","PARAZINHO","(UFRN)   (LAO MB4.1)"
1973,7,22,21,33,27,-5.28,-35.82,0,0,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1973,7,23,13,27,10,-5.28,-35.82,0,0,3,1,"C","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) HORA NOTICIADA 11H"
1973,7,23,23,35,51,-5.28,-35.82,0,0,3,1,"I","-",,"MR",3.6,2.6,0.3,"RN","PARAZINHO","(UFRN) EPI. INFERIDO"
1974,2,3,20,20,23,-29.5,-42.54,0,30,4.4,0,"I","-",,"mb",4.8,4.2,0.3,"SC","ATLANTICO","(ISC)"
1974,2,15,,,,-20.04,-48.47,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","CONC.ALAGOAS","INDUZIDO POR RESERVATORIO"
1974,2,24,3,19,40,-20.04,-48.47,0,10,4.2,2,"B","6-7",7,"M(bR)",4.6,3.9,0.3,"MG","CONCEICAO DAS ALAGOAS","INDUZIDO POR RESERVATORIO"
1974,2,27,,,,-20.04,-48.47,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","CONC.ALAGOAS","INDUZIDO POR RESERVATORIO"
1974,3,1,9,,,-20.04,-48.47,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","CONCEICAO DAS ALAGOAS","INDUZIDO POR RESERVATORIO"
